Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1461767090.192095,42.355917,-71.097179,9.365808,65.000000,-1.000000,-1.000000,inf
1461767103.166783,42.355920,-71.097178,9.365808,325.617103,-1.000000,-1.000000,inf
1461767103.177853,42.355922,-71.097177,9.365808,325.617240,-1.000000,-1.000000,inf
1461767103.184369,42.355925,-71.097177,9.365808,325.617287,-1.000000,-1.000000,inf
1461767103.281343,42.355468,-71.097559,9.365808,325.627812,-1.000000,-1.000000,inf
1461767103.306848,42.355034,-71.097922,9.365808,325.628543,-1.000000,-1.000000,inf
1461767103.336294,42.355988,-71.097402,9.002144,65.000000,-1.000000,-1.000000,inf
1461767105.095144,42.356200,-71.097239,-7.946751,30.000000,-1.000000,0.520000,inf
1461767106.010330,42.356271,-71.097353,1.338070,30.000000,356.835938,0.640000,477.086669
1461767107.006311,42.356325,-71.097448,4.803188,10.000000,338.906250,0.640000,308.376875
1461767108.002455,42.356341,-71.097480,6.010525,5.000000,330.117188,0.990000,216.985883
1461767109.000053,42.356352,-71.097502,5.767178,5.000000,328.710938,0.990000,204.118963
1461767110.000066,42.356363,-71.097518,6.236843,5.000000,327.304688,1.050000,461.818441
1461767111.000068,42.356369,-71.097518,6.559078,5.000000,325.546875,1.050000,195.611214
1461767112.000092,42.356359,-71.097492,6.650906,5.000000,20.390625,1.050000,250.060517
1461767112.999988,42.356362,-71.097480,6.593319,5.000000,20.742188,1.200000,183.731936
1461767114.000056,42.356376,-71.097463,6.554562,5.000000,20.742188,1.200000,161.577462
1461767114.999992,42.356389,-71.097449,6.382046,5.000000,21.093750,1.540000,113.231844
1461767115.999923,42.356402,-71.097438,6.170712,5.000000,21.093750,1.540000,104.652543
1461767116.999923,42.356419,-71.097431,6.492245,5.000000,14.765625,1.460000,108.430748
1461767117.999924,42.356430,-71.097428,6.536800,5.000000,21.093750,1.460000,115.883836
1461767118.999924,42.356441,-71.097426,6.440731,5.000000,356.132812,1.350000,125.029792
1461767119.999923,42.356454,-71.097425,6.614040,5.000000,355.429688,1.550000,155.743200
1461767120.999924,42.356468,-71.097424,6.983120,5.000000,21.093750,1.550000,200.018275
1461767121.999924,42.356477,-71.097417,6.829617,5.000000,21.093750,0.820000,391.305521
1461767122.999923,42.356482,-71.097402,6.634151,5.000000,68.554688,0.820000,1386.964004
1461767123.999923,42.356489,-71.097378,6.612453,5.000000,47.460938,1.340000,180.354136
1461767124.999924,42.356499,-71.097353,6.660366,5.000000,47.460938,1.870000,107.399655
1461767125.999923,42.356508,-71.097331,6.537685,5.000000,62.929688,1.870000,109.902428
1461767126.999924,42.356516,-71.097311,6.436733,5.000000,63.632812,1.550000,95.757217
1461767127.999924,42.356521,-71.097291,6.481930,5.000000,63.984375,1.450000,99.674766
1461767128.999923,42.356525,-71.097273,6.721218,5.000000,63.632812,1.450000,97.043109
1461767129.999924,42.356526,-71.097254,6.584286,5.000000,71.367188,1.390000,203.226634
1461767130.999924,42.356527,-71.097235,6.725704,5.000000,72.773438,1.390000,130.546009
1461767131.999924,42.356529,-71.097216,6.707302,5.000000,73.828125,1.340000,112.954148
1461767132.999924,42.356530,-71.097197,6.668545,5.000000,74.882812,1.330000,254.888025
1461767133.999924,42.356532,-71.097178,6.637844,25.000000,73.828125,1.340000,118.143067
1461767134.999924,42.356535,-71.097157,6.649380,25.000000,70.312500,1.600000,90.219645
1461767135.999924,42.356541,-71.097137,6.850430,25.000000,64.687500,1.630000,86.630834
1461767136.999923,42.356547,-71.097120,6.567623,25.000000,59.062500,1.600000,136.402516
1461767137.999924,42.356553,-71.097104,6.545864,25.000000,63.281250,1.470000,146.148455
1461767138.999924,42.356556,-71.097088,6.350674,25.000000,64.335938,1.330000,102.407792
1461767139.999924,42.356563,-71.097071,7.303493,25.000000,63.632812,1.330000,110.295664
