TimeStamp,HumanReadableTime,Heading
2016-05-09 22:05:40 +0000,2016-05-09 22:05:40 +0000,0.000000
2016-05-09 22:05:40 +0000,2016-05-09 22:05:40 +0000,260.238495
2016-05-09 22:05:40 +0000,2016-05-09 22:05:40 +0000,261.312866
2016-05-09 22:05:41 +0000,2016-05-09 22:05:41 +0000,259.419830
2016-05-09 22:05:41 +0000,2016-05-09 22:05:41 +0000,257.627960
2016-05-09 22:05:41 +0000,2016-05-09 22:05:41 +0000,258.909485
2016-05-09 22:05:41 +0000,2016-05-09 22:05:41 +0000,259.977020
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,261.149445
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,259.708435
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,260.721283
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,259.408936
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,260.561462
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,258.863770
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,257.736298
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,256.554718
2016-05-09 22:05:42 +0000,2016-05-09 22:05:42 +0000,258.666107
2016-05-09 22:05:43 +0000,2016-05-09 22:05:43 +0000,259.704987
2016-05-09 22:05:43 +0000,2016-05-09 22:05:43 +0000,258.632294
2016-05-09 22:05:43 +0000,2016-05-09 22:05:43 +0000,259.931030
2016-05-09 22:05:43 +0000,2016-05-09 22:05:43 +0000,261.123474
2016-05-09 22:05:43 +0000,2016-05-09 22:05:43 +0000,260.031067
2016-05-09 22:05:44 +0000,2016-05-09 22:05:44 +0000,261.464813
2016-05-09 22:05:44 +0000,2016-05-09 22:05:44 +0000,260.178253
2016-05-09 22:05:44 +0000,2016-05-09 22:05:44 +0000,258.945740
2016-05-09 22:05:45 +0000,2016-05-09 22:05:45 +0000,260.187775
2016-05-09 22:05:45 +0000,2016-05-09 22:05:45 +0000,261.957520
2016-05-09 22:05:45 +0000,2016-05-09 22:05:45 +0000,260.046814
2016-05-09 22:05:45 +0000,2016-05-09 22:05:45 +0000,261.163513
2016-05-09 22:05:45 +0000,2016-05-09 22:05:45 +0000,259.288635
2016-05-09 22:05:46 +0000,2016-05-09 22:05:46 +0000,258.162201
2016-05-09 22:05:46 +0000,2016-05-09 22:05:46 +0000,257.027588
2016-05-09 22:05:46 +0000,2016-05-09 22:05:46 +0000,258.561829
2016-05-09 22:05:46 +0000,2016-05-09 22:05:46 +0000,256.973206
2016-05-09 22:05:47 +0000,2016-05-09 22:05:47 +0000,255.829071
2016-05-09 22:05:47 +0000,2016-05-09 22:05:47 +0000,254.660141
2016-05-09 22:05:47 +0000,2016-05-09 22:05:47 +0000,256.432617
2016-05-09 22:05:47 +0000,2016-05-09 22:05:47 +0000,258.039368
2016-05-09 22:05:48 +0000,2016-05-09 22:05:48 +0000,259.697174
2016-05-09 22:05:48 +0000,2016-05-09 22:05:48 +0000,261.137207
2016-05-09 22:05:49 +0000,2016-05-09 22:05:49 +0000,260.077820
2016-05-09 22:05:49 +0000,2016-05-09 22:05:49 +0000,261.699768
2016-05-09 22:05:49 +0000,2016-05-09 22:05:49 +0000,262.912231
2016-05-09 22:05:50 +0000,2016-05-09 22:05:50 +0000,261.036957
2016-05-09 22:05:50 +0000,2016-05-09 22:05:50 +0000,262.121765
2016-05-09 22:05:50 +0000,2016-05-09 22:05:50 +0000,260.460236
2016-05-09 22:05:50 +0000,2016-05-09 22:05:50 +0000,261.501190
2016-05-09 22:05:51 +0000,2016-05-09 22:05:51 +0000,259.327423
2016-05-09 22:05:51 +0000,2016-05-09 22:05:51 +0000,260.627502
2016-05-09 22:05:51 +0000,2016-05-09 22:05:51 +0000,258.984192
