Time,X,Y,Z
2016-05-09 22:05:37 +0000,0.380188,-0.112457,-0.966614
2016-05-09 22:05:38 +0000,0.111633,-0.411316,-1.286301
2016-05-09 22:05:39 +0000,-0.045197,-0.371048,-0.957764
2016-05-09 22:05:40 +0000,-0.078217,-0.447372,-0.847641
2016-05-09 22:05:41 +0000,-0.089386,-0.421860,-0.927475
2016-05-09 22:05:42 +0000,-0.062347,-0.315704,-0.920181
2016-05-09 22:05:43 +0000,-0.011795,-0.318787,-0.794464
2016-05-09 22:05:44 +0000,0.004013,-0.324081,-0.669235
2016-05-09 22:05:45 +0000,0.054977,-0.305527,-0.610657
2016-05-09 22:05:46 +0000,0.053711,-0.259048,-0.547638
2016-05-09 22:05:48 +0000,0.001343,-0.311401,-0.521454
2016-05-09 22:05:49 +0000,-0.049103,-0.286209,-0.574738
2016-05-09 22:05:50 +0000,-0.036789,-0.299622,-0.609711
2016-05-09 22:05:51 +0000,-0.061676,-0.204544,-0.787552
2016-05-09 22:05:52 +0000,-0.148895,-0.161377,-1.019012
2016-05-09 22:05:53 +0000,-0.169937,-0.156387,-1.066025
2016-05-09 22:05:54 +0000,-0.233093,-0.183624,-1.003830
2016-05-09 22:05:55 +0000,-0.088257,-0.296555,-0.708847
2016-05-09 22:05:56 +0000,-0.113937,-0.255737,-0.910019
2016-05-09 22:05:57 +0000,-0.082718,-0.225220,-1.504730
2016-05-09 22:05:58 +0000,-0.194077,-0.227859,-1.581741
2016-05-09 22:05:59 +0000,-0.152893,-0.292740,-1.527115
2016-05-09 22:06:00 +0000,-0.142242,-0.446472,-1.123032
2016-05-09 22:06:01 +0000,-0.089066,-0.388184,-1.230789
2016-05-09 22:06:02 +0000,-0.267578,-0.386856,-1.277985
2016-05-09 22:06:03 +0000,0.011810,-0.554733,-1.050339
2016-05-09 22:06:04 +0000,-0.262451,-0.317307,-1.344055
2016-05-09 22:06:05 +0000,0.011597,-0.268585,-1.192093
2016-05-09 22:06:06 +0000,-0.235092,-0.191620,-0.809998
2016-05-09 22:06:07 +0000,0.010010,-0.241180,-0.456345
2016-05-09 22:06:08 +0000,-0.143250,-0.222702,-0.892731
2016-05-09 22:06:09 +0000,-0.181839,-0.111832,-1.047577
2016-05-09 22:06:10 +0000,-0.001083,-0.225113,-1.085129
2016-05-09 22:06:11 +0000,-0.116730,-0.173508,-0.951172
2016-05-09 22:06:12 +0000,-0.162552,-0.172134,-1.071808
2016-05-09 22:06:13 +0000,-0.209457,-0.145264,-0.712143
2016-05-09 22:06:14 +0000,-0.285614,-0.207947,-0.794128
2016-05-09 22:06:15 +0000,-0.331665,-0.138657,-1.086197
2016-05-09 22:06:16 +0000,-0.217773,-0.226517,-1.065781
2016-05-09 22:06:17 +0000,-0.222656,-0.213669,-0.856750
2016-05-09 22:06:18 +0000,-0.228836,-0.158051,-0.933746
2016-05-09 22:06:19 +0000,-0.242294,-0.148254,-0.811203
2016-05-09 22:06:20 +0000,-0.170929,-0.173920,-0.924911
2016-05-09 22:06:21 +0000,-0.239120,-0.175095,-0.891312
2016-05-09 22:06:22 +0000,-0.246155,-0.223038,-0.999374
2016-05-09 22:06:23 +0000,-0.301682,-0.255905,-0.849823
2016-05-09 22:06:24 +0000,-0.191925,-0.228012,-0.883484
2016-05-09 22:06:25 +0000,-0.305618,-0.275223,-0.870316
2016-05-09 22:06:26 +0000,-0.344009,-0.252075,-0.891434
2016-05-09 22:06:27 +0000,-0.204941,-0.365524,-0.378418
2016-05-09 22:06:29 +0000,-0.028183,-0.309387,-0.560638
2016-05-09 22:06:30 +0000,-0.013901,-0.291214,-0.604965
2016-05-09 22:06:31 +0000,-0.108414,-0.277115,-0.744263
2016-05-09 22:06:32 +0000,-0.088135,-0.143982,-0.888565
2016-05-09 22:06:33 +0000,-0.181473,-0.078384,-1.041153
2016-05-09 22:06:34 +0000,-0.135178,-0.131775,-0.881561
2016-05-09 22:06:35 +0000,-0.158295,-0.117630,-0.937134
2016-05-09 22:06:36 +0000,-0.135925,-0.090927,-0.961258
2016-05-09 22:06:37 +0000,-0.185226,-0.156693,-0.763290
2016-05-09 22:06:38 +0000,-0.140945,-0.170395,-0.980011
2016-05-09 22:06:39 +0000,-0.147125,-0.145172,-1.058624
2016-05-09 22:06:40 +0000,0.000870,-0.144623,-1.096069
2016-05-09 22:06:41 +0000,-0.025513,-0.098541,-1.054047
2016-05-09 22:06:42 +0000,-0.075012,-0.111298,-0.930908
2016-05-09 22:06:43 +0000,-0.176590,-0.240234,-0.656311
2016-05-09 22:06:44 +0000,0.006744,-0.184860,-0.986679
2016-05-09 22:06:45 +0000,-0.195190,-0.149002,-0.809738
2016-05-09 22:06:46 +0000,-0.325714,-0.155670,-0.875626
2016-05-09 22:06:47 +0000,-0.323593,-0.179581,-0.876266
2016-05-09 22:06:48 +0000,-0.215469,-0.125717,-0.895630
2016-05-09 22:06:49 +0000,-0.345245,-0.096390,-0.955063
2016-05-09 22:06:50 +0000,-0.159943,-0.230286,-0.852921
2016-05-09 22:06:51 +0000,-0.189453,-0.192490,-0.726685
2016-05-09 22:06:52 +0000,-0.097702,-0.303650,-0.586853
2016-05-09 22:06:53 +0000,-0.043472,-0.304794,-0.847473
2016-05-09 22:06:54 +0000,0.043777,-0.256012,-1.232986
2016-05-09 22:06:55 +0000,-0.002670,-0.243073,-1.110870
2016-05-09 22:06:56 +0000,-0.091721,-0.322754,-0.996750
2016-05-09 22:06:57 +0000,-0.054535,-0.317200,-0.916779
2016-05-09 22:06:58 +0000,0.020294,-0.271301,-1.177948
2016-05-09 22:06:59 +0000,0.004700,-0.241150,-1.487335
2016-05-09 22:07:00 +0000,-0.000031,-0.245743,-1.809601
2016-05-09 22:07:01 +0000,-0.047394,-0.341263,-1.752090
2016-05-09 22:07:02 +0000,-0.176483,-0.414963,-1.288681
2016-05-09 22:07:03 +0000,-0.128098,-0.454575,-0.986328
2016-05-09 22:07:04 +0000,-0.036240,-0.423904,-1.194824
2016-05-09 22:07:05 +0000,-0.112961,-0.398285,-1.171387
2016-05-09 22:07:06 +0000,-0.118423,-0.362411,-1.184586
2016-05-09 22:07:07 +0000,-0.000397,-0.400742,-1.129364
2016-05-09 22:07:08 +0000,-0.059631,-0.382263,-0.871277
2016-05-09 22:07:10 +0000,-0.102676,-0.355331,-0.883789
2016-05-09 22:07:11 +0000,-0.094437,-0.365158,-0.793564
2016-05-09 22:07:12 +0000,-0.048050,-0.361282,-0.597717
2016-05-09 22:07:13 +0000,0.036270,-0.316620,-0.731232
2016-05-09 22:07:14 +0000,0.018402,-0.222229,-0.663696
2016-05-09 22:07:15 +0000,0.037613,-0.257156,-0.605637
2016-05-09 22:07:16 +0000,-0.001480,-0.239456,-0.578949
2016-05-09 22:07:17 +0000,-0.018921,-0.193436,-0.554550
2016-05-09 22:07:18 +0000,-0.022324,-0.219666,-0.667496
2016-05-09 22:07:19 +0000,0.088135,-0.096909,-0.938232
2016-05-09 22:07:20 +0000,0.036850,-0.089386,-0.918625
2016-05-09 22:07:21 +0000,0.031311,-0.116287,-1.025589
2016-05-09 22:07:22 +0000,-0.028336,-0.172012,-0.891541
2016-05-09 22:07:23 +0000,-0.061127,-0.156326,-1.110641
2016-05-09 22:07:24 +0000,-0.046280,-0.206940,-1.014877
2016-05-09 22:07:25 +0000,-0.061569,-0.212952,-0.953979
2016-05-09 22:07:26 +0000,0.038834,-0.133041,-0.991653
2016-05-09 22:07:27 +0000,0.022095,-0.236328,-0.789688
2016-05-09 22:07:28 +0000,0.000259,-0.272415,-0.765381
2016-05-09 22:07:29 +0000,0.107239,-0.259827,-1.329605
2016-05-09 22:07:30 +0000,0.039795,-0.254150,-1.661011
2016-05-09 22:07:31 +0000,-0.003510,-0.450134,-1.558395
2016-05-09 22:07:32 +0000,0.116211,-0.532684,-1.519241
2016-05-09 22:07:33 +0000,0.096512,-0.535706,-1.244080
2016-05-09 22:07:34 +0000,0.059311,-0.525009,-1.249741
2016-05-09 22:07:35 +0000,0.073822,-0.473145,-1.296967
2016-05-09 22:07:36 +0000,0.090347,-0.496017,-1.140701
2016-05-09 22:07:37 +0000,0.114700,-0.491745,-1.048141
2016-05-09 22:07:38 +0000,0.069717,-0.381409,-0.967712
2016-05-09 22:07:39 +0000,0.131912,-0.359818,-0.695053
2016-05-09 22:07:40 +0000,0.047012,-0.318787,-0.604324
2016-05-09 22:07:41 +0000,0.036621,-0.273300,-0.444412
2016-05-09 22:07:42 +0000,-0.038406,-0.224365,-0.393784
2016-05-09 22:07:43 +0000,-0.076126,-0.179840,-1.074722
2016-05-09 22:07:44 +0000,-0.325333,-0.194382,-0.817459
2016-05-09 22:07:45 +0000,-0.043152,-0.303177,-0.833572
