Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1462831537.360909,42.360555,-71.091172,8.502983,65.000000,-1.000000,-1.000000,inf
1462831537.360941,42.360555,-71.091172,8.502983,65.000000,-1.000000,-1.000000,inf
1462831537.644514,42.360555,-71.091172,8.502983,65.000000,-1.000000,-1.000000,inf
1462831539.742771,42.360499,-71.091305,8.502983,212.367972,-1.000000,-1.000000,inf
1462831541.999859,42.360202,-71.090450,11.279755,50.000000,-1.000000,-1.000000,inf
1462831542.999883,42.360405,-71.090866,9.613495,30.000000,-1.000000,-1.000000,inf
1462831543.999871,42.360440,-71.090969,4.022366,30.000000,-1.000000,-1.000000,inf
1462831544.999870,42.360434,-71.090972,4.047207,10.000000,-1.000000,0.500000,inf
1462831545.999871,42.360417,-71.090941,3.947903,10.000000,129.726562,1.530000,358.881277
1462831546.999870,42.360405,-71.090919,3.776394,10.000000,132.539062,1.530000,288.019453
1462831547.999872,42.360397,-71.090900,3.919521,10.000000,-1.000000,1.630000,288.019453
1462831548.999872,42.360394,-71.090890,4.192257,10.000000,123.750000,1.380000,374.581661
1462831549.999870,42.360392,-71.090883,4.482723,10.000000,-1.000000,1.380000,374.581661
1462831550.999871,42.360391,-71.090885,4.694363,10.000000,123.750000,1.210000,462.809693
1462831551.999871,42.360389,-71.090891,4.685787,10.000000,123.750000,0.500000,861.633240
1462831552.999870,42.360391,-71.090899,4.564663,10.000000,123.750000,0.430000,1177.579307
1462831553.999871,42.360392,-71.090910,4.579037,10.000000,123.750000,0.460000,1202.150406
1462831554.999871,42.360392,-71.090918,4.585934,10.000000,123.750000,0.480000,1153.215546
1462831555.999871,42.360394,-71.090929,4.407833,10.000000,123.750000,0.480000,1105.702160
1462831556.999870,42.360396,-71.090938,4.392330,10.000000,123.750000,0.530000,985.204718
1462831557.999870,42.360398,-71.090946,4.473385,10.000000,123.750000,0.530000,939.020063
1462831558.999872,42.360390,-71.090932,4.269985,10.000000,123.750000,0.550000,968.798582
1462831559.999871,42.360380,-71.090917,4.188534,10.000000,123.750000,0.620000,1006.018835
1462831560.999870,42.360364,-71.090894,4.583096,10.000000,123.750000,0.620000,1335.591477
1462831561.999871,42.360348,-71.090870,4.423916,10.000000,154.335938,0.670000,819.042008
1462831562.999871,42.360330,-71.090843,4.365200,10.000000,152.929688,1.010000,539.599516
1462831563.999871,42.360314,-71.090817,4.372158,10.000000,149.765625,1.080000,430.758543
1462831564.999871,42.360303,-71.090803,4.467892,10.000000,161.718750,1.080000,487.512404
1462831565.999871,42.360295,-71.090797,4.416012,10.000000,189.140625,0.940000,1340.080980
1462831566.999871,42.360292,-71.090801,4.345547,10.000000,239.414062,0.800000,2261.716045
1462831567.999872,42.360289,-71.090799,4.659756,10.000000,239.414062,0.690000,2585.778399
1462831568.999871,42.360289,-71.090805,4.573483,10.000000,239.414062,0.690000,2879.382148
1462831569.999871,42.360289,-71.090816,4.654171,10.000000,239.414062,0.650000,3504.799650
1462831570.999871,42.360285,-71.090819,4.599026,10.000000,239.414062,0.620000,3229.681629
1462831571.999871,42.360280,-71.090815,4.213284,10.000000,239.414062,0.600000,2531.525997
1462831572.999871,42.360275,-71.090807,4.155056,10.000000,239.414062,0.550000,2081.252980
1462831573.999872,42.360270,-71.090802,4.129879,10.000000,239.414062,0.550000,1705.781590
1462831574.999871,42.360268,-71.090805,4.159878,10.000000,239.414062,0.550000,1574.111759
1462831575.999871,42.360266,-71.090808,4.230343,10.000000,239.414062,0.540000,1543.555133
1462831584.004311,42.360248,-71.090852,4.230343,65.000000,-1.000000,-1.000000,1543.555133
1462831584.005156,42.360257,-71.090853,6.574061,65.000000,-1.000000,-1.000000,1543.555133
1462831584.841022,42.360269,-71.090858,7.132182,65.000000,-1.000000,-1.000000,1543.555133
1462831585.999871,42.360243,-71.090831,4.746731,50.000000,239.414062,0.530000,1168.990107
1462831586.999871,42.360258,-71.090833,4.263821,30.000000,239.414062,0.530000,1357.985966
1462831587.999870,42.360277,-71.090835,4.261929,30.000000,239.414062,0.520000,2196.925755
1462831588.999871,42.360286,-71.090833,4.260342,30.000000,239.414062,0.510000,3787.528211
1462831597.003407,42.360270,-71.090877,4.260342,65.000000,-1.000000,-1.000000,3787.528211
1462831597.004504,42.360227,-71.090872,6.418090,65.000000,-1.000000,-1.000000,3787.528211
1462831598.412548,42.360221,-71.090877,6.418090,65.000000,-1.000000,-1.000000,3787.528211
1462831598.450936,42.360217,-71.090876,6.418090,65.000000,-1.000000,-1.000000,3787.528211
1462831598.476055,42.360214,-71.090875,6.418090,65.000000,-1.000000,-1.000000,3787.528211
1462831600.247487,42.360207,-71.090883,6.418090,65.000000,-1.000000,-1.000000,3787.528211
1462831600.260419,42.360203,-71.090882,6.418090,65.000000,-1.000000,-1.000000,3787.528211
1462831600.755002,42.360199,-71.090883,6.418090,65.000000,-1.000000,-1.000000,3787.528211
1462831602.041841,42.360222,-71.090888,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831602.753429,42.360220,-71.090887,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831602.786625,42.360219,-71.090884,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831602.797113,42.360218,-71.090880,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831605.373455,42.360213,-71.090887,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831605.383350,42.360211,-71.090883,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831611.444222,42.360201,-71.090900,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831611.529126,42.360199,-71.090893,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831611.544103,42.360197,-71.090887,7.202587,65.000000,-1.000000,-1.000000,3787.528211
1462831614.040613,42.359957,-71.091173,7.591721,65.000000,-1.000000,-1.000000,3787.528211
1462831620.255895,42.359818,-71.091334,7.805854,65.000000,-1.000000,-1.000000,3787.528211
1462831627.057130,42.359778,-71.091406,8.050133,65.000000,-1.000000,-1.000000,3787.528211
1462831636.062375,42.359700,-71.091509,8.050133,65.000000,-1.000000,-1.000000,3787.528211
1462831642.595770,42.359598,-71.091558,8.257443,65.000000,-1.000000,-1.000000,3787.528211
1462831651.600083,42.359515,-71.091625,8.257443,65.000000,-1.000000,-1.000000,3787.528211
1462831651.602039,42.359551,-71.091597,5.731964,200.000000,-1.000000,1.122207,3787.528211
