Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1461873500.794206,42.360473,-71.089802,6.377560,25.000000,303.046875,0.760000,944.887070
1461873500.794238,42.360473,-71.089802,6.377560,25.000000,303.046875,0.760000,755.909656
1461873501.000052,42.360478,-71.089816,6.117031,25.000000,307.265625,0.760000,797.515630
1461873502.000053,42.360484,-71.089833,5.845211,25.000000,311.484375,0.980000,2984.210877
1461873503.000052,42.360481,-71.089844,6.020840,25.000000,310.078125,0.980000,654.223339
1461873504.000053,42.360474,-71.089841,6.361477,25.000000,109.335938,1.280000,508.337766
1461873505.000053,42.360466,-71.089835,6.916012,25.000000,120.585938,1.280000,482.399138
1461873506.000053,42.360463,-71.089833,6.830044,25.000000,108.281250,0.670000,676.329072
1461873507.000053,42.360463,-71.089833,7.211971,25.000000,82.968750,0.000000,2705.316286
1461873508.000053,42.360462,-71.089847,7.431240,25.000000,221.484375,0.260000,2109.351318
1461873509.000053,42.360460,-71.089860,7.787868,25.000000,249.609375,0.500000,1217.126874
1461873510.000070,42.360464,-71.089879,7.643673,25.000000,284.062500,0.840000,784.415128
1461873511.000052,42.360470,-71.089902,8.167294,25.000000,301.640625,0.840000,1229.867888
1461873512.000052,42.360473,-71.089917,7.882931,25.000000,302.695312,0.180000,2830.981520
1461873513.000052,42.360484,-71.089934,8.176022,25.000000,336.093750,0.850000,1034.034197
1461873514.000052,42.360494,-71.089945,8.253323,25.000000,42.187500,0.540000,1546.364302
1461873515.000052,42.360499,-71.089951,8.840145,25.000000,46.054688,0.540000,1087.916672
1461873516.000053,42.360503,-71.089963,8.181728,25.000000,47.460938,0.310000,1942.466620
1461873517.000053,42.360506,-71.089981,7.742062,25.000000,274.218750,0.310000,4908.357965
1461873518.000052,42.360511,-71.090004,7.776608,25.000000,305.156250,0.610000,1455.223719
1461873519.000053,42.360518,-71.090029,7.427151,25.000000,304.101562,0.850000,715.968057
1461873520.000053,42.360523,-71.090055,7.119381,25.000000,292.500000,1.030000,568.000365
1461873521.000052,42.360524,-71.090076,6.774899,25.000000,279.492188,0.850000,567.226913
1461873522.000052,42.360522,-71.090100,6.488125,25.000000,261.914062,1.030000,1012.428249
1461873523.000052,42.360515,-71.090123,6.092312,25.000000,247.148438,0.840000,995.815429
1461873524.000054,42.360507,-71.090149,6.000179,25.000000,250.664062,1.970000,345.387530
1461873525.000053,42.360500,-71.090177,6.100399,25.000000,257.695312,1.970000,264.217660
1461873526.000053,42.360495,-71.090204,6.080624,25.000000,261.562500,1.730000,381.175751
1461873527.000053,42.360490,-71.090228,6.034481,25.000000,259.453125,1.620000,619.859917
1461873528.000054,42.360482,-71.090247,6.134090,25.000000,247.851562,1.580000,345.263100
1461873529.000052,42.360473,-71.090261,6.391323,25.000000,241.523438,1.090000,406.971333
1461873530.000053,42.360464,-71.090277,6.421871,25.000000,243.281250,1.480000,1195.157150
1461873531.000053,42.360457,-71.090294,6.499508,25.000000,256.992188,1.090000,526.443019
1461873532.000053,42.360452,-71.090309,6.524044,25.000000,260.859375,1.330000,412.154814
1461873533.000052,42.360447,-71.090322,6.657864,25.000000,259.453125,1.090000,601.939903
1461873534.000053,42.360447,-71.090341,6.626675,25.000000,274.218750,1.650000,742.872195
1461873535.000053,42.360447,-71.090363,6.591274,25.000000,284.765625,1.650000,473.217113
1461873536.000053,42.360442,-71.090381,6.616695,25.000000,278.085938,1.240000,833.953779
1461873537.000053,42.360435,-71.090402,6.599667,25.000000,259.453125,1.240000,705.435583
1461873538.000052,42.360427,-71.090422,6.473751,25.000000,249.609375,1.420000,1182.651718
1461873539.000052,42.360416,-71.090441,6.593655,25.000000,253.125000,1.540000,558.322947
1461873540.000052,42.360406,-71.090453,6.829830,25.000000,256.289062,1.540000,445.407752
1461873541.000053,42.360401,-71.090457,7.200069,25.000000,264.726562,0.730000,1335.374623
1461873542.000053,42.360392,-71.090454,7.587795,25.000000,242.578125,0.670000,2439.017876
1461873543.000052,42.360381,-71.090444,7.388363,25.000000,145.195312,0.670000,7973.573227
1461873544.000052,42.360373,-71.090440,7.684872,25.000000,130.781250,0.550000,1071.549887
1461873545.000052,42.360373,-71.090440,7.859982,25.000000,165.234375,0.000000,4286.199548
1461873546.000052,42.360363,-71.090428,7.710110,25.000000,89.648438,0.550000,1075.967188
1461873547.000053,42.360356,-71.090416,7.906765,25.000000,123.046875,0.910000,1791.890845
1461873548.000053,42.360346,-71.090406,8.312130,25.000000,130.781250,0.990000,579.008476
1461873549.000052,42.360334,-71.090400,8.630764,25.000000,143.085938,0.990000,488.162926
1461873550.000052,42.360320,-71.090396,8.844296,25.000000,153.281250,0.990000,858.505988
1461873551.000051,42.360304,-71.090393,9.479305,25.000000,151.171875,1.050000,615.775826
1461873552.000052,42.360287,-71.090388,9.718288,25.000000,145.546875,1.380000,378.922528
1461873553.000053,42.360270,-71.090382,9.969631,25.000000,139.218750,1.340000,377.793412
1461873554.000053,42.360255,-71.090376,10.614742,25.000000,134.296875,1.500000,523.476049
1461873555.000053,42.360244,-71.090376,10.659145,25.000000,140.625000,1.340000,503.873251
1461873556.000053,42.360235,-71.090379,10.913113,25.000000,148.710938,1.020000,806.183093
1461873557.000053,42.360233,-71.090391,11.128384,25.000000,169.453125,0.200000,1556.990918
