Time,Distance
2016-05-04 15:05:42 +0000,-106.826637
2016-05-04 15:05:44 +0000,3.398883
2016-05-04 15:05:49 +0000,3.398883
2016-05-04 15:05:52 +0000,3.398883
2016-05-04 15:05:54 +0000,4.197416
2016-05-04 15:05:57 +0000,3.398883
2016-05-04 15:06:00 +0000,4.299792
2016-05-04 15:06:02 +0000,3.357933
2016-05-04 15:06:05 +0000,3.398883
2016-05-04 15:06:07 +0000,4.248604
2016-05-04 15:06:10 +0000,3.357933
2016-05-04 15:06:12 +0000,3.439833
2016-05-04 15:06:15 +0000,3.439833
2016-05-04 15:06:17 +0000,4.299792
2016-05-04 15:06:20 +0000,3.398883
2016-05-04 15:06:22 +0000,4.248604
2016-05-04 15:06:25 +0000,3.439833
2016-05-04 15:06:28 +0000,3.480784
2016-05-04 15:06:30 +0000,4.299792
2016-05-04 15:06:33 +0000,3.439833
2016-05-04 15:06:35 +0000,3.439833
2016-05-04 15:06:38 +0000,4.248604
2016-05-04 15:06:40 +0000,3.398883
2016-05-04 15:06:43 +0000,3.439833
2016-05-04 15:06:45 +0000,4.248604
2016-05-04 15:06:48 +0000,3.398883
2016-05-04 15:06:51 +0000,3.439833
2016-05-04 15:06:53 +0000,4.299792
2016-05-04 15:06:56 +0000,3.357933
2016-05-04 15:06:58 +0000,3.439833
2016-05-04 15:07:01 +0000,4.248604
2016-05-04 15:07:03 +0000,3.439833
2016-05-04 15:07:06 +0000,3.439833
2016-05-04 15:07:08 +0000,3.439833
2016-05-04 15:07:11 +0000,4.299792
2016-05-04 15:07:13 +0000,3.439833
2016-05-04 15:07:16 +0000,4.350980
2016-05-04 15:07:19 +0000,3.480784
2016-05-04 15:07:21 +0000,3.439833
2016-05-04 15:07:24 +0000,4.299792
2016-05-04 15:07:26 +0000,3.439833
2016-05-04 15:07:29 +0000,3.480784
2016-05-04 15:07:31 +0000,4.299792
2016-05-04 15:07:34 +0000,3.398883
2016-05-04 15:07:36 +0000,4.248604
2016-05-04 15:07:39 +0000,3.316982
2016-05-04 15:07:42 +0000,3.439833
2016-05-04 15:07:44 +0000,4.299792
2016-05-04 15:07:47 +0000,3.439833
2016-05-04 15:07:49 +0000,3.398883
2016-05-04 15:07:52 +0000,4.248604
2016-05-04 15:07:54 +0000,3.398883
2016-05-04 15:07:57 +0000,3.316982
2016-05-04 15:07:59 +0000,3.398883
2016-05-04 15:08:02 +0000,3.316982
2016-05-04 15:08:04 +0000,4.197416
2016-05-04 15:08:07 +0000,3.398883
2016-05-04 15:08:10 +0000,3.398883
2016-05-04 15:08:12 +0000,3.439833
2016-05-04 15:08:15 +0000,4.248604
2016-05-04 15:08:17 +0000,3.398883
2016-05-04 15:08:20 +0000,3.357933
2016-05-04 15:08:22 +0000,3.357933
2016-05-04 15:08:25 +0000,4.248604
2016-05-04 15:08:27 +0000,3.398883
2016-05-04 15:08:30 +0000,3.398883
2016-05-04 15:08:32 +0000,3.316982
2016-05-04 15:08:35 +0000,4.197416
2016-05-04 15:08:38 +0000,3.357933
2016-05-04 15:08:40 +0000,3.316982
2016-05-04 15:08:43 +0000,3.439833
2016-05-04 15:08:45 +0000,3.398883
2016-05-04 15:08:48 +0000,3.357933
2016-05-04 15:08:50 +0000,3.357933
2016-05-04 15:08:53 +0000,3.357933
2016-05-04 15:08:55 +0000,3.685536
2016-05-04 15:08:58 +0000,5.159750
2016-05-04 15:09:01 +0000,3.972189
2016-05-04 15:09:03 +0000,3.316982
2016-05-04 15:09:06 +0000,3.316982
2016-05-04 15:09:08 +0000,3.439833
2016-05-04 15:09:11 +0000,4.299792
2016-05-04 15:09:13 +0000,3.357933
2016-05-04 15:09:16 +0000,3.398883
2016-05-04 15:09:18 +0000,3.357933
2016-05-04 15:09:21 +0000,0.204981
2016-05-04 15:09:23 +0000,1.983009
2016-05-04 15:09:26 +0000,1.370048
2016-05-04 15:09:29 +0000,4.299792
2016-05-04 15:09:31 +0000,3.357933
2016-05-04 15:09:34 +0000,3.398883
2016-05-04 15:09:36 +0000,3.398883
