Time,Heading
2016-05-04 15:07:38 +0000,98.419916
2016-05-04 15:07:39 +0000,103.726315
2016-05-04 15:07:40 +0000,87.865352
2016-05-04 15:07:41 +0000,78.830546
2016-05-04 15:07:42 +0000,56.356648
2016-05-04 15:07:43 +0000,51.978627
2016-05-04 15:07:44 +0000,70.677377
2016-05-04 15:07:45 +0000,71.925123
2016-05-04 15:07:46 +0000,74.609268
2016-05-04 15:07:47 +0000,71.172966
2016-05-04 15:07:48 +0000,64.331236
2016-05-04 15:07:49 +0000,58.382676
2016-05-04 15:07:50 +0000,60.539153
2016-05-04 15:07:51 +0000,65.049449
2016-05-04 15:07:52 +0000,70.697189
2016-05-04 15:07:53 +0000,69.200082
2016-05-04 15:07:54 +0000,66.272766
2016-05-04 15:07:55 +0000,60.022570
2016-05-04 15:07:56 +0000,65.599620
2016-05-04 15:07:57 +0000,71.309597
2016-05-04 15:07:58 +0000,71.864527
2016-05-04 15:07:59 +0000,65.030385
2016-05-04 15:08:00 +0000,59.353239
2016-05-04 15:08:01 +0000,61.157345
2016-05-04 15:08:02 +0000,62.753681
2016-05-04 15:08:03 +0000,69.095564
2016-05-04 15:08:04 +0000,69.916038
2016-05-04 15:08:05 +0000,68.326189
2016-05-04 15:08:06 +0000,66.627807
2016-05-04 15:08:07 +0000,75.683381
2016-05-04 15:08:08 +0000,88.569537
2016-05-04 15:08:09 +0000,95.409176
2016-05-04 15:08:10 +0000,96.552470
2016-05-04 15:08:11 +0000,82.446396
2016-05-04 15:08:12 +0000,101.008550
2016-05-04 15:08:13 +0000,86.133517
2016-05-04 15:08:14 +0000,71.234916
2016-05-04 15:08:15 +0000,83.266050
2016-05-04 15:08:16 +0000,92.746093
2016-05-04 15:08:17 +0000,78.205770
2016-05-04 15:08:18 +0000,83.892727
2016-05-04 15:08:19 +0000,95.325071
2016-05-04 15:08:20 +0000,93.039695
2016-05-04 15:08:21 +0000,76.366066
2016-05-04 15:08:22 +0000,63.606068
2016-05-04 15:08:23 +0000,31.972461
2016-05-04 15:08:24 +0000,347.336061
2016-05-04 15:08:25 +0000,281.156443
2016-05-04 15:08:26 +0000,286.939012
2016-05-04 15:08:27 +0000,306.290699
2016-05-04 15:08:28 +0000,300.857871
2016-05-04 15:08:29 +0000,310.696931
2016-05-04 15:08:30 +0000,308.284991
2016-05-04 15:08:31 +0000,306.372443
2016-05-04 15:08:32 +0000,299.400312
2016-05-04 15:08:33 +0000,306.029636
2016-05-04 15:08:34 +0000,305.968870
2016-05-04 15:08:35 +0000,296.875446
2016-05-04 15:08:36 +0000,304.208291
2016-05-04 15:08:37 +0000,303.718074
2016-05-04 15:08:38 +0000,311.916858
2016-05-04 15:08:39 +0000,309.627618
2016-05-04 15:08:40 +0000,308.407715
2016-05-04 15:08:41 +0000,306.470198
2016-05-04 15:08:42 +0000,308.064271
2016-05-04 15:08:43 +0000,311.470098
2016-05-04 15:08:44 +0000,316.938521
2016-05-04 15:08:45 +0000,332.660032
2016-05-04 15:08:46 +0000,359.143124
2016-05-04 15:08:47 +0000,5.983308
2016-05-04 15:08:48 +0000,14.786641
2016-05-04 15:08:49 +0000,22.663684
2016-05-04 15:08:50 +0000,2.695396
2016-05-04 15:08:51 +0000,348.502998
2016-05-04 15:08:52 +0000,7.938003
2016-05-04 15:08:53 +0000,29.553935
2016-05-04 15:08:54 +0000,22.163154
2016-05-04 15:08:55 +0000,356.892130
2016-05-04 15:08:56 +0000,342.273191
2016-05-04 15:08:57 +0000,341.471705
2016-05-04 15:08:58 +0000,327.360151
2016-05-04 15:08:59 +0000,324.907810
2016-05-04 15:09:00 +0000,318.682434
2016-05-04 15:09:01 +0000,315.108071
2016-05-04 15:09:02 +0000,314.338110
2016-05-04 15:09:03 +0000,313.101233
2016-05-04 15:09:04 +0000,316.112714
2016-05-04 15:09:05 +0000,324.183876
2016-05-04 15:09:06 +0000,344.301787
2016-05-04 15:09:07 +0000,353.389347
2016-05-04 15:09:08 +0000,348.223475
2016-05-04 15:09:09 +0000,332.499304
2016-05-04 15:09:10 +0000,319.681850
2016-05-04 15:09:11 +0000,320.505395
2016-05-04 15:09:12 +0000,339.775044
2016-05-04 15:09:13 +0000,345.036444
2016-05-04 15:09:14 +0000,336.544717
2016-05-04 15:09:15 +0000,328.026059
2016-05-04 15:09:16 +0000,319.895273
2016-05-04 15:09:17 +0000,306.961935
2016-05-04 15:09:18 +0000,300.936405
2016-05-04 15:09:19 +0000,309.335643
2016-05-04 15:09:20 +0000,322.821892
2016-05-04 15:09:21 +0000,326.343032
2016-05-04 15:09:22 +0000,322.915899
2016-05-04 15:09:23 +0000,321.551759
2016-05-04 15:09:24 +0000,318.971726
2016-05-04 15:09:25 +0000,293.973868
2016-05-04 15:09:26 +0000,292.096957
2016-05-04 15:09:27 +0000,292.821020
2016-05-04 15:09:28 +0000,289.945134
2016-05-04 15:09:29 +0000,279.646062
2016-05-04 15:09:30 +0000,281.826886
2016-05-04 15:09:31 +0000,290.473615
2016-05-04 15:09:32 +0000,295.687670
2016-05-04 15:09:33 +0000,295.055605
2016-05-04 15:09:34 +0000,296.973617
2016-05-04 15:09:35 +0000,284.739168
2016-05-04 15:09:36 +0000,315.098277
2016-05-04 15:09:37 +0000,314.504796
2016-05-04 15:09:38 +0000,303.451562
