Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1461868335.621929,42.360248,-71.087977,11.000000,74.919445,-1.000000,-1.000000,inf
1461868480.039238,42.358442,-71.087139,11.000000,3892.437414,-1.000000,-1.000000,inf
1461868480.062947,42.356982,-71.086462,11.000000,3892.437519,-1.000000,-1.000000,inf
1461868480.081166,42.355801,-71.085915,11.000000,3892.437582,-1.000000,-1.000000,inf
1461868480.103124,42.354847,-71.085472,11.000000,3892.437673,-1.000000,-1.000000,inf
1461868481.540902,42.360121,-71.090274,10.474811,65.000000,-1.000000,-1.000000,inf
1461868482.103076,42.360057,-71.090325,10.168976,30.000000,-1.000000,-1.000000,inf
1461868482.762077,42.360052,-71.090327,10.168518,50.000000,-1.000000,-1.000000,inf
1461868483.999991,42.360046,-71.090372,4.363827,30.000000,-1.000000,1.480000,inf
1461868484.999997,42.360016,-71.090395,4.267117,10.000000,-1.000000,1.480000,inf
1461868485.999996,42.360032,-71.090385,4.381222,10.000000,99.492188,0.920000,847.187202
1461868486.999995,42.360029,-71.090381,4.325191,10.000000,99.492188,0.520000,1041.547716
1461868487.999992,42.360017,-71.090385,4.327236,30.000000,-1.000000,0.900000,1041.547716
1461868489.000014,42.360006,-71.090372,4.427273,30.000000,-1.000000,0.940000,1041.547716
1461868489.999997,42.359995,-71.090364,4.375271,30.000000,-1.000000,0.940000,1041.547716
1461868490.999988,42.360002,-71.090379,4.489773,30.000000,148.007812,0.940000,1946.980829
1461868491.999985,42.359995,-71.090386,4.485104,30.000000,148.007812,0.490000,3628.932664
1461868492.999984,42.359988,-71.090393,4.428646,30.000000,148.007812,0.660000,3694.186523
1461868493.999983,42.359980,-71.090402,4.398617,30.000000,220.078125,0.880000,8181.030599
1461868494.999984,42.359962,-71.090400,4.458187,30.000000,207.421875,0.880000,23889.672281
1461868495.999983,42.359944,-71.090399,4.510403,50.000000,199.335938,1.080000,683.063504
1461868496.999984,42.359927,-71.090397,4.478878,50.000000,188.789062,1.400000,1117.635157
1461868497.999983,42.359919,-71.090396,4.480495,50.000000,187.031250,1.400000,466.492473
1461868498.999984,42.359912,-71.090397,4.448879,50.000000,189.843750,1.230000,455.305600
1461868499.999984,42.359906,-71.090399,4.427547,100.000000,194.062500,1.140000,641.923435
1461868508.005173,42.359821,-71.090389,4.427547,142.619869,-1.000000,-1.000000,641.923435
1461868508.005914,42.359974,-71.090471,5.812539,65.000000,-1.000000,-1.000000,641.923435
1461868510.273768,42.359944,-71.090470,5.812539,74.868129,-1.000000,-1.000000,641.923435
1461868510.322834,42.359934,-71.090469,5.812539,74.875608,-1.000000,-1.000000,641.923435
1461868510.333987,42.359925,-71.090468,5.812539,74.875995,-1.000000,-1.000000,641.923435
1461868511.297372,42.359905,-71.090467,5.812539,77.766498,-1.000000,-1.000000,641.923435
1461868512.483514,42.359881,-71.090466,5.812539,82.245065,-1.000000,-1.000000,641.923435
1461868512.967531,42.359899,-71.090558,6.591535,65.000000,-1.000000,-1.000000,641.923435
1461868515.412610,42.359864,-71.090565,6.591535,70.929386,-1.000000,-1.000000,641.923435
1461868515.427626,42.359856,-71.090564,6.591535,70.930321,-1.000000,-1.000000,641.923435
1461868518.984080,42.359909,-71.090526,7.258762,65.000000,-1.000000,-1.000000,641.923435
1461868520.555776,42.359910,-71.090518,7.258762,65.000000,-1.000000,-1.000000,641.923435
1461868525.055874,42.359902,-71.091058,7.683794,65.000000,-1.000000,-1.000000,641.923435
1461868528.246155,42.359898,-71.091295,7.683794,65.000000,-1.000000,-1.000000,641.923435
1461868528.253766,42.359895,-71.091294,7.683794,65.000000,-1.000000,-1.000000,641.923435
1461868531.198767,42.359679,-71.091299,8.008766,65.000000,-1.000000,-1.000000,641.923435
1461868540.203844,42.359500,-71.091721,8.008766,85.471095,-1.000000,-1.000000,641.923435
1461868548.713903,42.359337,-71.092062,8.008766,112.049467,-1.000000,-1.000000,641.923435
1461868551.492560,42.359272,-71.092158,8.008766,114.566524,-1.000000,-1.000000,641.923435
1461868551.509060,42.359253,-71.092151,8.008766,114.566612,-1.000000,-1.000000,641.923435
1461868558.956884,42.359114,-71.092395,8.008766,130.789514,-1.000000,-1.000000,641.923435
1461868561.979701,42.359382,-71.091474,8.313709,65.000000,-1.000000,-1.000000,641.923435
1461868570.984884,42.359281,-71.091622,8.313709,88.844868,-1.000000,-1.000000,641.923435
1461868570.985650,42.359293,-71.091615,4.796414,200.000000,-1.000000,1.695275,641.923435
1461868570.999793,42.359306,-71.091625,4.544889,200.000000,-1.000000,1.693771,641.923435
1461868571.999792,42.359310,-71.091647,4.451465,200.000000,-1.000000,1.663044,641.923435
1461868572.999793,42.359313,-71.091668,4.404231,200.000000,-1.000000,1.633231,641.923435
1461868573.864983,42.359430,-71.090783,4.672229,100.974913,-1.000000,-1.000000,641.923435
1461868582.866493,42.359340,-71.090858,4.672229,125.411133,-1.000000,-1.000000,641.923435
1461868582.867906,42.359419,-71.091105,4.477612,200.000000,-1.000000,1.129763,641.923435
1461868582.999792,42.359487,-71.091313,4.388408,200.000000,-1.000000,1.129752,641.923435
1461868583.999793,42.359526,-71.091463,4.336184,200.000000,-1.000000,1.125456,641.923435
1461868584.999793,42.359549,-71.091568,4.312654,200.000000,-1.000000,1.119149,641.923435
1461868585.685227,42.359126,-71.091165,4.354351,69.103582,-1.000000,-1.000000,641.923435
1461868586.771725,42.359097,-71.091222,4.402146,65.000000,-1.000000,-1.000000,641.923435
1461868592.660370,42.359273,-71.091298,4.524107,65.000000,-1.000000,-1.000000,641.923435
1461868601.661152,42.359318,-71.091374,4.524107,89.081110,-1.000000,-1.000000,641.923435
1461868601.662288,42.359418,-71.091443,4.366057,200.000000,-1.000000,0.868754,641.923435
1461868601.999793,42.359524,-71.091516,4.328317,200.000000,-1.000000,0.887810,641.923435
1461868604.808254,42.359335,-71.091743,4.393728,65.000000,-1.000000,-1.000000,641.923435
1461868610.966171,42.359381,-71.091833,4.518832,65.000000,-1.000000,-1.000000,641.923435
1461868616.984063,42.359348,-71.091933,4.674260,65.000000,-1.000000,-1.000000,641.923435
1461868625.989251,42.359341,-71.092044,4.674260,65.000000,-1.000000,-1.000000,641.923435
1461868625.990138,42.359338,-71.092039,4.404377,200.000000,-1.000000,0.953115,641.923435
1461868628.989378,42.359275,-71.092187,4.502739,65.000000,-1.000000,-1.000000,641.923435
1461868634.917050,42.359290,-71.092306,4.660579,65.000000,-1.000000,-1.000000,641.923435
1461868640.987004,42.359263,-71.092440,4.868711,65.000000,-1.000000,-1.000000,641.923435
1461868649.992189,42.359260,-71.092599,4.868711,71.469855,-1.000000,-1.000000,641.923435
1461868649.993145,42.359258,-71.092598,4.896613,200.000000,-1.000000,1.301373,641.923435
1461868649.999793,42.359254,-71.092599,4.649570,200.000000,-1.000000,1.300262,641.923435
1461868658.004979,42.359264,-71.092749,4.649570,112.871486,-1.000000,-1.000000,641.923435
1461868664.999792,42.359285,-71.092894,4.632466,200.000000,-1.000000,1.176285,641.923435
1461868665.999793,42.359308,-71.092953,5.044687,200.000000,-1.000000,1.171349,641.923435
1461868666.999792,42.359369,-71.093106,5.107305,200.000000,-1.000000,1.194024,641.923435
1461868667.999793,42.359283,-71.093404,5.136688,200.000000,-1.000000,1.256084,641.923435
1461868668.999793,42.359093,-71.093746,5.177395,50.000000,-1.000000,-1.000000,641.923435
1461868669.999793,42.359059,-71.093715,5.207088,50.000000,-1.000000,-1.000000,641.923435
1461868670.999792,42.359044,-71.093693,5.211330,50.000000,-1.000000,-1.000000,641.923435
1461868671.999793,42.359041,-71.093661,5.115658,30.000000,233.085938,0.820000,359.076794
1461868672.999794,42.359034,-71.093646,5.266720,30.000000,235.546875,1.050000,457.308305
1461868673.999792,42.359033,-71.093632,5.093075,30.000000,242.226562,1.050000,349.745228
1461868674.999792,42.359033,-71.093625,4.902065,30.000000,248.906250,1.080000,283.953621
1461868675.999793,42.359032,-71.093622,4.671871,10.000000,251.718750,1.080000,295.766038
1461868676.999793,42.359039,-71.093598,4.500240,10.000000,246.796875,0.950000,412.962084
1461868677.999793,42.359042,-71.093584,4.267910,10.000000,243.281250,0.950000,363.613709
1461868678.999793,42.359044,-71.093571,4.219234,10.000000,243.281250,0.880000,377.474165
1461868679.999794,42.359047,-71.093556,4.024593,5.000000,243.281250,0.480000,582.894059
1461868680.999794,42.359048,-71.093545,4.063046,5.000000,243.281250,0.550000,615.526276
1461868681.999792,42.359049,-71.093540,3.434841,5.000000,243.281250,0.610000,579.915059
1461868682.999793,42.359049,-71.093537,2.787380,5.000000,243.281250,0.610000,572.925845
1461868683.999793,42.359046,-71.093533,2.390896,5.000000,243.281250,0.610000,573.918947
1461868684.999793,42.359043,-71.093526,2.001461,5.000000,243.281250,0.610000,578.828472
1461868685.999793,42.359040,-71.093524,2.026760,5.000000,243.281250,0.630000,568.741746
1461868686.999792,42.359038,-71.093524,2.105373,5.000000,243.281250,0.630000,566.761289
1461868687.999792,42.359036,-71.093526,2.384548,5.000000,243.281250,0.620000,572.708510
