Time,X,Y,Z
2016-05-04 14:58:18 +0000,0.140839,-0.536362,-1.120316
2016-05-04 14:58:19 +0000,-0.115845,-0.426331,-0.866150
2016-05-04 14:58:20 +0000,0.065460,-0.481461,-0.845367
2016-05-04 14:58:21 +0000,-0.046402,-0.532333,-0.890381
2016-05-04 14:58:22 +0000,-0.053207,-0.396347,-0.877792
2016-05-04 14:58:23 +0000,-0.012894,-0.575592,-0.843536
2016-05-04 14:58:24 +0000,-0.030716,-0.567078,-0.473053
2016-05-04 14:58:25 +0000,-0.025162,-0.577774,-0.865662
2016-05-04 14:58:27 +0000,-0.073746,-0.523834,-0.907471
2016-05-04 14:58:28 +0000,-0.076584,-0.494141,-0.716766
2016-05-04 14:58:29 +0000,-0.189911,-0.408157,-1.055328
2016-05-04 14:58:30 +0000,-0.350143,-0.400299,-1.079880
2016-05-04 14:58:31 +0000,-0.039322,-0.403000,-0.615662
2016-05-04 14:58:32 +0000,0.074387,-0.361038,-1.158585
2016-05-04 14:58:33 +0000,-0.021667,-0.263107,-1.792587
2016-05-04 14:58:34 +0000,-0.083725,-0.253265,-1.507294
2016-05-04 14:58:35 +0000,0.201111,-0.343369,-0.916702
2016-05-04 14:58:36 +0000,0.122284,-0.344543,-0.675873
2016-05-04 14:58:37 +0000,0.089218,-0.133804,-1.455994
2016-05-04 14:58:38 +0000,0.023773,-0.144257,-1.795380
2016-05-04 14:58:39 +0000,-0.080368,-0.371674,-1.070007
2016-05-04 14:58:40 +0000,0.043137,-0.558929,-0.970474
2016-05-04 14:58:41 +0000,-0.071075,-0.523178,-1.045822
2016-05-04 14:58:42 +0000,-0.005630,-0.445465,-0.927155
2016-05-04 14:58:43 +0000,0.024094,-0.492828,-0.917236
2016-05-04 14:58:44 +0000,-0.011032,-0.496338,-0.970596
2016-05-04 14:58:45 +0000,-0.097198,-0.390305,-0.847626
2016-05-04 14:58:46 +0000,-0.026779,-0.369629,-0.646973
2016-05-04 14:58:47 +0000,0.000153,-0.362228,-0.638153
2016-05-04 14:58:48 +0000,0.014038,-0.327011,-0.642395
2016-05-04 14:58:49 +0000,0.008621,-0.300079,-0.631241
2016-05-04 14:58:50 +0000,0.019516,-0.276215,-0.712402
2016-05-04 14:58:51 +0000,-0.043137,-0.279861,-0.782669
2016-05-04 14:58:52 +0000,-0.047501,-0.230728,-0.904938
2016-05-04 14:58:53 +0000,-0.057556,-0.210526,-1.040833
2016-05-04 14:58:54 +0000,-0.101181,-0.226074,-1.109406
2016-05-04 14:58:55 +0000,-0.131027,-0.202408,-0.921982
2016-05-04 14:58:56 +0000,-0.259857,-0.284943,-0.954147
2016-05-04 14:58:57 +0000,-0.040054,-0.258163,-0.905792
2016-05-04 14:58:58 +0000,-0.012970,-0.300323,-0.779526
2016-05-04 14:58:59 +0000,-0.079773,-0.265427,-0.783768
2016-05-04 14:59:00 +0000,0.124222,-0.309006,-0.510223
2016-05-04 14:59:01 +0000,-0.092026,-0.228302,-0.807526
2016-05-04 14:59:02 +0000,0.069641,-0.318527,-0.619751
2016-05-04 14:59:03 +0000,0.069443,-0.330856,-0.686371
2016-05-04 14:59:04 +0000,0.014236,-0.291809,-0.573212
2016-05-04 14:59:05 +0000,0.031113,-0.301025,-0.629425
2016-05-04 14:59:06 +0000,0.002472,-0.339111,-0.760788
2016-05-04 14:59:07 +0000,-0.038727,-0.269577,-1.120575
2016-05-04 14:59:09 +0000,-0.160278,-0.325333,-0.502869
2016-05-04 14:59:10 +0000,-0.002716,-0.291885,-0.400009
2016-05-04 14:59:11 +0000,-0.093582,-0.227356,-0.639954
2016-05-04 14:59:12 +0000,-0.015350,-0.306702,-0.573227
2016-05-04 14:59:13 +0000,0.044113,-0.309402,-0.599960
2016-05-04 14:59:14 +0000,-0.010620,-0.372009,-0.724930
2016-05-04 14:59:15 +0000,0.067215,-0.406967,-0.763718
2016-05-04 14:59:16 +0000,-0.004288,-0.476135,-0.920883
2016-05-04 14:59:17 +0000,0.040878,-0.393372,-0.593353
2016-05-04 14:59:18 +0000,-0.079956,-0.480545,-0.704956
2016-05-04 14:59:19 +0000,-0.082230,-0.484589,-0.806732
2016-05-04 14:59:20 +0000,-0.051407,-0.480225,-0.826401
2016-05-04 14:59:21 +0000,-0.044388,-0.514084,-0.760025
2016-05-04 14:59:22 +0000,-0.006454,-0.486618,-0.778549
2016-05-04 14:59:23 +0000,-0.001389,-0.460388,-0.692398
2016-05-04 14:59:24 +0000,-0.030060,-0.436386,-0.714432
2016-05-04 14:59:25 +0000,-0.025253,-0.448822,-0.578033
2016-05-04 14:59:26 +0000,0.027664,-0.464584,-0.596756
2016-05-04 14:59:27 +0000,0.030350,-0.321136,-0.635544
2016-05-04 14:59:28 +0000,0.010178,-0.367386,-0.839920
2016-05-04 14:59:29 +0000,0.056702,-0.472229,-0.848938
2016-05-04 14:59:30 +0000,-0.067551,-0.526520,-1.032883
2016-05-04 14:59:31 +0000,0.078110,-0.530838,-1.083786
2016-05-04 14:59:32 +0000,-0.008057,-0.477783,-0.892685
2016-05-04 14:59:33 +0000,0.036057,-0.525421,-0.954483
2016-05-04 14:59:34 +0000,0.038528,-0.486786,-0.990128
2016-05-04 14:59:35 +0000,0.028168,-0.515335,-0.925751
2016-05-04 14:59:36 +0000,0.067551,-0.510132,-0.926208
2016-05-04 14:59:37 +0000,0.019241,-0.504440,-0.942017
2016-05-04 14:59:38 +0000,-0.076141,-0.472092,-1.071838
2016-05-04 14:59:39 +0000,-0.016754,-0.578033,-0.906769
2016-05-04 14:59:40 +0000,-0.070190,-0.592941,-1.174332
2016-05-04 14:59:41 +0000,-0.155991,-0.516129,-1.230560
2016-05-04 14:59:42 +0000,-0.030182,-0.451187,-1.148514
2016-05-04 14:59:43 +0000,0.020859,-0.471588,-1.020050
2016-05-04 14:59:44 +0000,-0.013184,-0.475403,-1.038239
2016-05-04 14:59:45 +0000,-0.059235,-0.427979,-1.127701
2016-05-04 14:59:46 +0000,-0.017105,-0.491684,-1.074020
2016-05-04 14:59:47 +0000,-0.093353,-0.491547,-1.068481
2016-05-04 14:59:48 +0000,0.012772,-0.527481,-1.117645
2016-05-04 14:59:49 +0000,-0.001526,-0.492767,-1.091644
2016-05-04 14:59:51 +0000,0.004852,-0.487167,-1.108093
2016-05-04 14:59:52 +0000,0.075806,-0.507599,-1.115494
2016-05-04 14:59:53 +0000,-0.057709,-0.438889,-1.023880
2016-05-04 14:59:54 +0000,-0.014313,-0.494736,-1.084335
2016-05-04 14:59:55 +0000,0.013000,-0.346725,-1.061890
2016-05-04 14:59:56 +0000,0.055145,-0.436218,-1.134537
2016-05-04 14:59:57 +0000,-0.010696,-0.373276,-0.971710
2016-05-04 14:59:58 +0000,-0.010910,-0.422699,-1.096756
2016-05-04 14:59:59 +0000,0.029572,-0.395828,-1.032669
2016-05-04 15:00:00 +0000,0.024033,-0.336319,-0.907852
2016-05-04 15:00:01 +0000,0.034073,-0.372192,-0.930527
2016-05-04 15:00:02 +0000,-0.026978,-0.371414,-1.007477
2016-05-04 15:00:03 +0000,-0.029144,-0.417816,-1.087265
2016-05-04 15:00:04 +0000,0.022385,-0.365158,-1.019836
