TimeStamp,HumanReadableTime,Heading
2016-05-09 22:10:30 +0000,2016-05-09 22:10:30 +0000,0.000000
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,278.051239
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,276.735321
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,278.657990
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,279.708252
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,277.890778
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,276.884583
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,273.897614
2016-05-09 22:10:31 +0000,2016-05-09 22:10:31 +0000,272.478699
2016-05-09 22:10:32 +0000,2016-05-09 22:10:32 +0000,274.158325
2016-05-09 22:10:32 +0000,2016-05-09 22:10:32 +0000,273.111847
2016-05-09 22:10:32 +0000,2016-05-09 22:10:32 +0000,271.888733
2016-05-09 22:10:32 +0000,2016-05-09 22:10:32 +0000,269.894073
2016-05-09 22:10:32 +0000,2016-05-09 22:10:32 +0000,271.103546
2016-05-09 22:10:32 +0000,2016-05-09 22:10:32 +0000,272.128784
2016-05-09 22:10:33 +0000,2016-05-09 22:10:33 +0000,273.151703
2016-05-09 22:10:33 +0000,2016-05-09 22:10:33 +0000,271.366150
2016-05-09 22:10:34 +0000,2016-05-09 22:10:34 +0000,272.756927
2016-05-09 22:10:34 +0000,2016-05-09 22:10:34 +0000,271.607941
2016-05-09 22:10:34 +0000,2016-05-09 22:10:34 +0000,270.313446
2016-05-09 22:10:35 +0000,2016-05-09 22:10:35 +0000,269.289398
2016-05-09 22:10:35 +0000,2016-05-09 22:10:35 +0000,270.454193
2016-05-09 22:10:35 +0000,2016-05-09 22:10:35 +0000,268.913300
2016-05-09 22:10:36 +0000,2016-05-09 22:10:36 +0000,270.380371
2016-05-09 22:10:36 +0000,2016-05-09 22:10:36 +0000,269.000183
2016-05-09 22:10:37 +0000,2016-05-09 22:10:37 +0000,270.397064
2016-05-09 22:10:37 +0000,2016-05-09 22:10:37 +0000,269.272858
2016-05-09 22:10:37 +0000,2016-05-09 22:10:37 +0000,271.138031
2016-05-09 22:10:37 +0000,2016-05-09 22:10:37 +0000,269.340088
2016-05-09 22:10:38 +0000,2016-05-09 22:10:38 +0000,270.852356
2016-05-09 22:10:38 +0000,2016-05-09 22:10:38 +0000,271.870850
2016-05-09 22:10:38 +0000,2016-05-09 22:10:38 +0000,270.613220
2016-05-09 22:10:40 +0000,2016-05-09 22:10:40 +0000,269.571930
2016-05-09 22:10:40 +0000,2016-05-09 22:10:40 +0000,268.410522
2016-05-09 22:10:40 +0000,2016-05-09 22:10:40 +0000,267.216370
2016-05-09 22:10:41 +0000,2016-05-09 22:10:41 +0000,265.814667
2016-05-09 22:10:41 +0000,2016-05-09 22:10:41 +0000,267.551758
2016-05-09 22:10:41 +0000,2016-05-09 22:10:41 +0000,268.567963
2016-05-09 22:10:41 +0000,2016-05-09 22:10:41 +0000,267.219116
2016-05-09 22:10:41 +0000,2016-05-09 22:10:41 +0000,266.206573
2016-05-09 22:10:42 +0000,2016-05-09 22:10:42 +0000,267.258850
2016-05-09 22:10:42 +0000,2016-05-09 22:10:42 +0000,268.418640
2016-05-09 22:10:43 +0000,2016-05-09 22:10:43 +0000,269.473541
2016-05-09 22:10:43 +0000,2016-05-09 22:10:43 +0000,268.284668
2016-05-09 22:10:44 +0000,2016-05-09 22:10:44 +0000,269.379822
2016-05-09 22:10:44 +0000,2016-05-09 22:10:44 +0000,270.584351
2016-05-09 22:10:44 +0000,2016-05-09 22:10:44 +0000,268.727905
2016-05-09 22:10:44 +0000,2016-05-09 22:10:44 +0000,267.683380
2016-05-09 22:10:44 +0000,2016-05-09 22:10:44 +0000,265.746948
2016-05-09 22:10:46 +0000,2016-05-09 22:10:46 +0000,266.775940
2016-05-09 22:10:46 +0000,2016-05-09 22:10:46 +0000,268.356934
2016-05-09 22:10:46 +0000,2016-05-09 22:10:46 +0000,266.025909
2016-05-09 22:10:46 +0000,2016-05-09 22:10:46 +0000,267.096924
2016-05-09 22:10:46 +0000,2016-05-09 22:10:46 +0000,268.377991
2016-05-09 22:10:46 +0000,2016-05-09 22:10:46 +0000,269.979828
2016-05-09 22:10:46 +0000,2016-05-09 22:10:46 +0000,268.462494
2016-05-09 22:10:47 +0000,2016-05-09 22:10:47 +0000,267.219299
2016-05-09 22:10:47 +0000,2016-05-09 22:10:47 +0000,268.722321
2016-05-09 22:10:47 +0000,2016-05-09 22:10:47 +0000,270.033020
2016-05-09 22:10:48 +0000,2016-05-09 22:10:48 +0000,268.650635
2016-05-09 22:10:48 +0000,2016-05-09 22:10:48 +0000,269.926086
2016-05-09 22:10:48 +0000,2016-05-09 22:10:48 +0000,267.661072
2016-05-09 22:10:48 +0000,2016-05-09 22:10:48 +0000,266.352173
2016-05-09 22:10:49 +0000,2016-05-09 22:10:49 +0000,264.671051
2016-05-09 22:10:49 +0000,2016-05-09 22:10:49 +0000,265.839142
2016-05-09 22:10:49 +0000,2016-05-09 22:10:49 +0000,264.706146
2016-05-09 22:10:49 +0000,2016-05-09 22:10:49 +0000,265.742340
2016-05-09 22:10:49 +0000,2016-05-09 22:10:49 +0000,264.258209
2016-05-09 22:10:50 +0000,2016-05-09 22:10:50 +0000,263.000763
2016-05-09 22:10:50 +0000,2016-05-09 22:10:50 +0000,264.217896
