Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1462831828.348706,42.359017,-71.093628,4.648129,5.000000,189.140625,0.690000,307.199945
1462831828.348738,42.359017,-71.093628,4.648129,5.000000,189.140625,0.690000,384.934052
1462831828.599669,42.359017,-71.093628,4.648129,5.000000,189.140625,0.690000,410.929532
1462831828.999871,42.359008,-71.093656,4.815701,5.000000,256.289062,0.740000,548.007193
1462831829.999871,42.358999,-71.093686,5.054806,5.000000,251.015625,0.770000,898.782390
1462831830.999870,42.358991,-71.093713,4.545071,5.000000,-1.000000,0.880000,898.782390
1462831831.999870,42.358986,-71.093737,4.524532,5.000000,247.500000,0.900000,1774.498490
1462831832.999870,42.358980,-71.093761,4.926174,5.000000,250.312500,0.900000,788.511355
1462831833.999871,42.358975,-71.093783,4.811703,5.000000,255.234375,0.950000,352.215679
1462831834.999871,42.358970,-71.093804,4.040127,5.000000,253.476562,0.980000,493.131753
1462831835.999871,42.358965,-71.093825,4.794491,5.000000,252.421875,0.980000,307.502672
1462831836.999871,42.358961,-71.093844,4.145718,5.000000,255.585938,0.980000,279.971810
1462831837.999871,42.358956,-71.093862,4.473263,5.000000,257.695312,0.980000,447.352999
1462831838.999871,42.358955,-71.093878,3.811275,5.000000,260.156250,0.990000,896.743341
1462831839.999872,42.358954,-71.093892,2.885921,5.000000,260.156250,1.000000,1105.327347
1462831840.999871,42.358953,-71.093908,3.229702,5.000000,256.640625,1.000000,531.295478
1462831841.999870,42.358952,-71.093924,2.926510,5.000000,255.937500,1.000000,306.791607
1462831842.999870,42.358945,-71.093940,3.360348,5.000000,252.070312,1.000000,301.302790
1462831843.999872,42.358933,-71.093957,4.520138,5.000000,249.609375,1.010000,268.365608
1462831844.999871,42.358920,-71.093974,5.065792,5.000000,243.984375,1.020000,332.845161
1462831845.999871,42.358910,-71.093991,4.113430,5.000000,245.039062,1.020000,638.276763
1462831846.999870,42.358902,-71.094011,3.564205,5.000000,247.500000,1.020000,609.532093
1462831847.999871,42.358896,-71.094030,3.452663,5.000000,249.257812,1.030000,296.682866
1462831848.999871,42.358891,-71.094049,3.782986,5.000000,249.257812,1.040000,261.096259
