Time,Distance
2016-05-10 23:48:53 +0000,2.623704
2016-05-10 23:49:03 +0000,0.000000
2016-05-10 23:49:03 +0000,7.084001
2016-05-10 23:49:05 +0000,2.833600
2016-05-10 23:49:10 +0000,2.448791
2016-05-10 23:49:13 +0000,3.044124
2016-05-10 23:49:15 +0000,3.044124
2016-05-10 23:49:18 +0000,3.044124
2016-05-10 23:49:21 +0000,3.044124
2016-05-10 23:49:23 +0000,3.044124
2016-05-10 23:49:26 +0000,3.098483
2016-05-10 23:49:28 +0000,3.098483
2016-05-10 23:49:31 +0000,3.098483
2016-05-10 23:49:33 +0000,3.098483
2016-05-10 23:49:36 +0000,3.098483
2016-05-10 23:49:38 +0000,3.098483
2016-05-10 23:49:41 +0000,3.152843
2016-05-10 23:49:44 +0000,3.152843
2016-05-10 23:49:46 +0000,3.152843
2016-05-10 23:49:49 +0000,3.152843
2016-05-10 23:49:51 +0000,3.098483
2016-05-10 23:49:54 +0000,3.098483
2016-05-10 23:49:56 +0000,3.098483
2016-05-10 23:49:59 +0000,3.152843
2016-05-10 23:50:01 +0000,3.152843
2016-05-10 23:50:04 +0000,3.152843
2016-05-10 23:50:06 +0000,3.152843
2016-05-10 23:50:09 +0000,3.152843
2016-05-10 23:50:12 +0000,3.783411
2016-05-10 23:50:14 +0000,3.152843
2016-05-10 23:50:17 +0000,3.207202
2016-05-10 23:50:19 +0000,3.207202
2016-05-10 23:50:22 +0000,3.152843
2016-05-10 23:50:24 +0000,3.098483
2016-05-10 23:50:27 +0000,3.783411
2016-05-10 23:50:29 +0000,3.152843
2016-05-10 23:50:32 +0000,3.152843
2016-05-10 23:50:34 +0000,4.457467
2016-05-10 23:50:37 +0000,1.217650
2016-05-10 23:50:40 +0000,3.098483
2016-05-10 23:50:42 +0000,3.152843
2016-05-10 23:50:45 +0000,3.152843
2016-05-10 23:50:52 +0000,0.000000
2016-05-10 23:50:52 +0000,6.305685
2016-05-10 23:50:55 +0000,3.152843
2016-05-10 23:50:57 +0000,2.707096
2016-05-10 23:51:00 +0000,4.511827
2016-05-10 23:51:03 +0000,3.098483
2016-05-10 23:51:05 +0000,3.098483
2016-05-10 23:51:08 +0000,3.152843
