Time,Distance
2016-05-10 14:59:06 +0000,6.362367
2016-05-10 14:59:09 +0000,3.716914
2016-05-10 14:59:14 +0000,3.480784
2016-05-10 14:59:16 +0000,4.402168
2016-05-10 14:59:19 +0000,3.521734
2016-05-10 14:59:21 +0000,4.402168
2016-05-10 14:59:24 +0000,3.521734
2016-05-10 14:59:26 +0000,4.350980
2016-05-10 14:59:29 +0000,3.521734
2016-05-10 14:59:32 +0000,4.350980
2016-05-10 14:59:34 +0000,4.402168
2016-05-10 14:59:37 +0000,3.562685
2016-05-10 14:59:39 +0000,4.402168
2016-05-10 14:59:42 +0000,2.620825
2016-05-10 14:59:44 +0000,4.453356
2016-05-10 14:59:47 +0000,3.521734
2016-05-10 14:59:49 +0000,4.350980
2016-05-10 14:59:52 +0000,4.453356
2016-05-10 14:59:55 +0000,3.603635
2016-05-10 14:59:57 +0000,4.504544
2016-05-10 15:00:00 +0000,3.562685
2016-05-10 15:00:02 +0000,4.453356
2016-05-10 15:00:05 +0000,4.453356
2016-05-10 15:00:07 +0000,3.562685
2016-05-10 15:00:10 +0000,4.504544
2016-05-10 15:00:12 +0000,4.453356
2016-05-10 15:00:15 +0000,3.521734
2016-05-10 15:00:17 +0000,4.453356
2016-05-10 15:00:20 +0000,3.521734
2016-05-10 15:00:23 +0000,4.402168
2016-05-10 15:00:25 +0000,3.521734
2016-05-10 15:00:28 +0000,4.453356
2016-05-10 15:00:30 +0000,4.453356
2016-05-10 15:00:33 +0000,3.521734
2016-05-10 15:00:35 +0000,4.453356
2016-05-10 15:00:38 +0000,3.562685
2016-05-10 15:00:40 +0000,4.402168
2016-05-10 15:00:43 +0000,3.521734
2016-05-10 15:00:45 +0000,4.402168
2016-05-10 15:00:48 +0000,3.480784
2016-05-10 15:00:51 +0000,4.299792
2016-05-10 15:00:53 +0000,3.480784
2016-05-10 15:00:56 +0000,3.439833
2016-05-10 15:00:58 +0000,4.299792
2016-05-10 15:01:01 +0000,3.439833
2016-05-10 15:01:03 +0000,3.398883
2016-05-10 15:01:06 +0000,3.357933
2016-05-10 15:01:08 +0000,3.398883
2016-05-10 15:01:11 +0000,3.521734
2016-05-10 15:01:14 +0000,3.562685
2016-05-10 15:01:16 +0000,4.504544
2016-05-10 15:01:19 +0000,4.555732
2016-05-10 15:01:21 +0000,3.603635
2016-05-10 15:01:24 +0000,3.562685
2016-05-10 15:01:26 +0000,3.357933
2016-05-10 15:01:29 +0000,4.248604
2016-05-10 15:01:31 +0000,3.439833
2016-05-10 15:01:34 +0000,3.357933
2016-05-10 15:01:36 +0000,3.480784
2016-05-10 15:01:39 +0000,3.480784
2016-05-10 15:01:42 +0000,4.350980
2016-05-10 15:01:44 +0000,3.439833
2016-05-10 15:01:47 +0000,3.521734
2016-05-10 15:01:49 +0000,4.453356
2016-05-10 15:01:52 +0000,3.562685
2016-05-10 15:01:54 +0000,4.453356
2016-05-10 15:01:57 +0000,3.603635
2016-05-10 15:01:59 +0000,4.453356
2016-05-10 15:02:02 +0000,3.562685
2016-05-10 15:02:05 +0000,4.453356
2016-05-10 15:02:07 +0000,4.504544
2016-05-10 15:02:10 +0000,3.603635
2016-05-10 15:02:12 +0000,4.504544
2016-05-10 15:02:15 +0000,3.562685
2016-05-10 15:02:17 +0000,4.453356
2016-05-10 15:02:20 +0000,3.562685
2016-05-10 15:02:22 +0000,3.480784
2016-05-10 15:02:25 +0000,3.439833
2016-05-10 15:02:27 +0000,3.480784
2016-05-10 15:02:30 +0000,3.521734
2016-05-10 15:02:33 +0000,3.439833
2016-05-10 15:02:35 +0000,3.398883
2016-05-10 15:02:38 +0000,4.350980
2016-05-10 15:02:40 +0000,0.880434
2016-05-10 15:02:45 +0000,0.000000
2016-05-10 15:02:45 +0000,6.961568
2016-05-10 15:02:48 +0000,4.402168
2016-05-10 15:02:50 +0000,3.439833
2016-05-10 15:02:53 +0000,2.518449
2016-05-10 15:02:56 +0000,4.350980
