Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1462373922.787595,42.356475,-71.097301,5.966396,25.000000,58.710938,1.100000,193.386031
1462373922.787628,42.356475,-71.097301,5.966396,25.000000,58.710938,1.100000,154.708825
1462373922.999795,42.356478,-71.097285,5.670589,25.000000,58.710938,1.060000,147.990977
1462373923.237727,42.356478,-71.097285,5.670589,25.000000,58.710938,1.060000,146.719652
1462373923.999795,42.356481,-71.097266,5.641109,25.000000,58.710938,1.100000,138.434377
1462373924.999795,42.356485,-71.097247,5.576870,25.000000,58.710938,1.290000,118.095822
1462373925.999794,42.356488,-71.097229,5.571377,25.000000,73.476562,1.300000,130.698873
1462373926.999794,42.356493,-71.097212,5.608081,25.000000,65.390625,1.300000,130.080871
1462373927.999795,42.356498,-71.097197,5.578560,25.000000,64.687500,1.280000,110.502281
1462373928.999795,42.356504,-71.097183,5.393544,25.000000,59.765625,1.270000,246.453707
1462373929.999794,42.356511,-71.097170,5.343208,25.000000,59.414062,1.270000,208.246487
1462373930.999796,42.356518,-71.097156,5.326332,25.000000,57.304688,1.330000,197.522173
1462373931.999795,42.356525,-71.097142,5.310133,25.000000,57.304688,1.350000,178.790177
1462373932.999796,42.356531,-71.097127,5.194900,25.000000,57.656250,1.340000,127.614258
1462373933.999796,42.356536,-71.097112,5.074023,25.000000,57.656250,1.340000,117.805133
1462373934.999795,42.356542,-71.097097,4.990005,25.000000,56.250000,1.340000,183.840989
1462373935.999796,42.356549,-71.097081,5.119887,25.000000,56.601562,1.420000,615.581040
1462373936.999795,42.356556,-71.097065,5.119887,25.000000,56.601562,1.420000,1845.462578
1462373937.999795,42.356564,-71.097049,5.227032,25.000000,56.250000,1.420000,388.551946
1462373938.999795,42.356570,-71.097033,5.208132,25.000000,56.250000,1.410000,346.657361
1462373939.999794,42.356575,-71.097018,5.499497,25.000000,67.148438,1.380000,111.208423
1462373940.999795,42.356579,-71.097003,5.499797,25.000000,67.148438,1.260000,101.448755
1462373941.999794,42.356583,-71.096987,5.418277,25.000000,67.148438,1.340000,94.456714
1462373942.999795,42.356587,-71.096970,5.416472,25.000000,65.390625,1.340000,128.795934
1462373943.999795,42.356592,-71.096952,5.555319,25.000000,65.039062,1.370000,103.692558
1462373944.999794,42.356596,-71.096935,5.643746,25.000000,65.039062,1.370000,97.033218
1462373945.999794,42.356601,-71.096919,5.725584,25.000000,65.039062,1.330000,96.004318
1462373946.999795,42.356608,-71.096903,5.586565,25.000000,65.039062,1.510000,88.060690
1462373947.999794,42.356618,-71.096887,5.538275,25.000000,48.867188,1.510000,75.609638
1462373948.999796,42.356625,-71.096874,5.564146,25.000000,65.039062,1.510000,92.614110
1462373949.999795,42.356635,-71.096862,5.456594,25.000000,52.382812,1.570000,98.988686
1462373950.999795,42.356645,-71.096846,5.456791,25.000000,53.437500,1.630000,118.014149
1462373951.999795,42.356655,-71.096831,5.427117,25.000000,50.625000,1.570000,83.989589
1462373952.999795,42.356661,-71.096818,5.462718,25.000000,69.960938,1.450000,71.418776
1462373953.999795,42.356667,-71.096803,5.350294,25.000000,68.203125,1.460000,190.536863
1462373954.999794,42.356674,-71.096786,5.552017,25.000000,68.554688,1.620000,219.342380
1462373955.999794,42.356681,-71.096770,5.398360,25.000000,74.531250,1.460000,806.996612
1462373956.999796,42.356681,-71.096757,5.543184,25.000000,75.937500,1.340000,93.322919
1462373957.999795,42.356683,-71.096743,5.773443,25.000000,75.585938,1.340000,89.841703
1462373958.999794,42.356686,-71.096728,5.605139,25.000000,59.765625,1.400000,95.531209
1462373959.999796,42.356690,-71.096714,5.686264,25.000000,60.117188,1.400000,78.379843
1462373960.999794,42.356692,-71.096700,5.550183,25.000000,60.117188,1.360000,78.398664
1462373961.999795,42.356693,-71.096686,5.371319,25.000000,60.117188,1.360000,81.787258
1462373962.999795,42.356695,-71.096672,5.271477,25.000000,60.117188,1.320000,87.471939
1462373963.999794,42.356699,-71.096659,5.159239,25.000000,60.117188,1.380000,86.629016
1462373964.999795,42.356704,-71.096646,4.949872,25.000000,60.117188,1.380000,83.547281
1462373965.999795,42.356707,-71.096633,4.780765,25.000000,70.664062,1.380000,68.113474
1462373966.999795,42.356711,-71.096622,4.668459,25.000000,69.960938,1.280000,67.528015
1462373967.999795,42.356716,-71.096608,4.566795,25.000000,69.609375,1.430000,69.167327
1462373968.999794,42.356721,-71.096593,4.339033,25.000000,67.851562,1.430000,74.652675
1462373969.999794,42.356725,-71.096579,4.149228,25.000000,67.851562,1.290000,80.690232
1462373970.999796,42.356729,-71.096564,4.106433,25.000000,67.851562,1.290000,79.516800
1462373971.999795,42.356733,-71.096547,3.816346,25.000000,72.070312,1.440000,168.880824
1462373972.999795,42.356737,-71.096532,3.851128,25.000000,71.718750,1.440000,233.591461
1462373973.999794,42.356742,-71.096515,3.839084,25.000000,71.718750,1.350000,251.275376
1462373974.999795,42.356747,-71.096500,3.637215,25.000000,69.960938,1.280000,74.107724
1462373975.999795,42.356752,-71.096484,3.526623,25.000000,77.695312,1.320000,97.010510
1462373976.999795,42.356756,-71.096466,3.353073,25.000000,77.695312,1.400000,93.739938
1462373977.999795,42.356759,-71.096448,3.227121,25.000000,77.695312,1.400000,81.421718
1462373978.999795,42.356763,-71.096431,3.160782,25.000000,77.695312,1.300000,76.429239
1462373979.999795,42.356764,-71.096413,3.178103,25.000000,78.046875,1.300000,86.652815
1462373980.999795,42.356767,-71.096396,3.019382,25.000000,75.937500,1.370000,110.516992
1462373981.999795,42.356771,-71.096379,2.973947,25.000000,73.828125,1.330000,54.965292
1462373982.999795,42.356775,-71.096363,2.876833,25.000000,62.929688,1.380000,127.104204
1462373983.999794,42.356780,-71.096348,2.936250,25.000000,54.140625,1.330000,105.080293
1462373984.999795,42.356784,-71.096334,2.862642,25.000000,55.546875,1.250000,54.695013
1462373985.999795,42.356788,-71.096321,2.796865,25.000000,55.195312,1.250000,46.730262
1462373986.999795,42.356793,-71.096308,2.638964,25.000000,56.601562,1.280000,104.909179
1462373987.999795,42.356797,-71.096294,2.646161,25.000000,57.304688,1.290000,97.964074
1462373988.999795,42.356801,-71.096279,2.268472,25.000000,57.304688,1.280000,105.739242
1462373989.999794,42.356804,-71.096264,2.333455,25.000000,57.304688,1.290000,124.886138
1462373990.999795,42.356808,-71.096247,2.388236,25.000000,67.148438,1.380000,66.925110
1462373991.999795,42.356807,-71.096230,2.343597,25.000000,80.156250,1.420000,52.823974
1462373992.999796,42.356806,-71.096214,2.088976,25.000000,83.671875,1.420000,47.295941
1462373993.999795,42.356804,-71.096198,2.257801,25.000000,86.484375,1.340000,114.791703
1462373994.999795,42.356804,-71.096182,2.516651,25.000000,73.828125,1.330000,148.462742
1462373995.999795,42.356808,-71.096166,2.412146,25.000000,70.664062,1.370000,103.992554
1462373996.999795,42.356811,-71.096149,2.399226,25.000000,68.203125,1.400000,129.471796
1462373997.999795,42.356815,-71.096132,2.469083,25.000000,68.906250,1.370000,51.577315
1462373998.999794,42.356816,-71.096116,2.436115,25.000000,72.773438,1.310000,34.704892
1462373999.999795,42.356817,-71.096101,2.552285,25.000000,72.773438,1.100000,38.330755
1462374000.999794,42.356820,-71.096086,2.476878,25.000000,72.421875,1.210000,51.140409
1462374001.999795,42.356824,-71.096071,2.608388,25.000000,72.421875,1.210000,64.949388
1462374002.999795,42.356827,-71.096056,2.551397,25.000000,72.421875,1.110000,97.859610
1462374003.999795,42.356832,-71.096040,2.607500,25.000000,72.421875,1.110000,143.717487
1462374004.999795,42.356839,-71.096023,2.666028,25.000000,62.578125,1.390000,87.665580
1462374005.999795,42.356847,-71.096008,2.587739,25.000000,55.898438,1.390000,41.236360
