Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1462374330.129571,42.359040,-71.093190,5.245065,200.000000,-1.000000,-1.000000,38.773431
1462374330.129600,42.359054,-71.093207,5.201839,100.000000,-1.000000,-1.000000,38.773431
1462374330.999998,42.359030,-71.093177,5.245932,200.000000,-1.000000,0.262022,38.773431
1462374331.999998,42.359019,-71.093171,5.266650,200.000000,-1.000000,0.305606,38.773431
1462374333.000021,42.359014,-71.093168,5.265652,200.000000,-1.000000,-1.000000,38.773431
1462374334.000002,42.359009,-71.093166,5.264794,200.000000,-1.000000,-1.000000,38.773431
1462374334.999971,42.359003,-71.093165,5.249802,200.000000,-1.000000,-1.000000,38.773431
1462374335.999995,42.358998,-71.093163,5.249672,200.000000,-1.000000,-1.000000,38.773431
1462374336.999973,42.358993,-71.093160,5.253500,200.000000,-1.000000,-1.000000,38.773431
1462374337.999973,42.358987,-71.093157,5.276037,200.000000,-1.000000,-1.000000,38.773431
1462374346.005170,42.358801,-71.093279,5.276037,283.236935,-1.000000,-1.000000,38.773431
1462374353.553731,42.358538,-71.093245,5.276037,346.077710,-1.000000,-1.000000,38.773431
1462374353.601326,42.358394,-71.093147,5.276037,346.079740,-1.000000,-1.000000,38.773431
1462374353.633053,42.358253,-71.093051,5.276037,346.080641,-1.000000,-1.000000,38.773431
1462374355.999971,42.358636,-71.093092,5.266461,350.892356,-1.000000,0.545609,38.773431
1462374356.999972,42.359116,-71.092890,5.259063,200.000000,-1.000000,1.079564,38.773431
1462374357.999973,42.359166,-71.092859,5.256530,200.000000,-1.000000,1.224850,38.773431
1462374358.999973,42.359219,-71.092827,5.251614,100.000000,61.523438,1.540000,593.950841
1462374359.999972,42.359255,-71.092798,5.254086,100.000000,57.304688,1.640000,249.178636
1462374360.999973,42.359280,-71.092775,5.245358,100.000000,52.734375,1.720000,220.750686
1462374361.999973,42.359301,-71.092752,5.168972,100.000000,52.031250,1.720000,680.865914
1462374362.999973,42.359319,-71.092728,5.089169,100.000000,54.140625,1.750000,215.934123
1462374363.999971,42.359331,-71.092709,5.089168,200.000000,-1.000000,1.724318,215.934123
1462374372.004220,42.359381,-71.092573,5.089168,116.071522,-1.000000,-1.000000,215.934123
1462374373.999796,42.359375,-71.092534,5.089168,117.058560,-1.000000,-1.000000,215.934123
1462374376.579048,42.359373,-71.092487,5.089168,118.709033,-1.000000,-1.000000,215.934123
1462374376.598469,42.359353,-71.092478,5.089168,118.709128,-1.000000,-1.000000,215.934123
1462374379.471281,42.359224,-71.092435,5.602058,65.000000,-1.000000,-1.000000,215.934123
1462374386.211232,42.359377,-71.092283,6.089437,65.000000,-1.000000,-1.000000,215.934123
1462374386.800469,42.359385,-71.092271,6.089437,65.000000,-1.000000,-1.000000,215.934123
1462374389.368110,42.359424,-71.092224,6.089437,65.000000,-1.000000,-1.000000,215.934123
1462374389.379951,42.359422,-71.092223,6.089437,65.000000,-1.000000,-1.000000,215.934123
1462374391.925039,42.359459,-71.092177,6.089437,65.000000,-1.000000,-1.000000,215.934123
1462374393.462062,42.359316,-71.092120,6.510944,65.000000,-1.000000,-1.000000,215.934123
1462374394.054604,42.359273,-71.092108,6.879798,65.000000,-1.000000,-1.000000,215.934123
1462374394.054604,42.359255,-71.092107,7.202201,65.000000,-1.000000,-1.000000,215.934123
1462374399.985448,42.359264,-71.092084,7.517001,65.000000,-1.000000,-1.000000,215.934123
1462374400.999973,42.359644,-71.092386,4.310421,50.000000,-1.000000,-1.000000,215.934123
1462374401.999972,42.359697,-71.092412,4.282864,50.000000,-1.000000,-1.000000,215.934123
1462374402.999972,42.359735,-71.092414,4.266171,50.000000,-1.000000,-1.000000,215.934123
1462374403.999973,42.359762,-71.092406,4.260006,100.000000,-1.000000,-1.000000,215.934123
1462374404.999972,42.359788,-71.092391,4.292355,100.000000,-1.000000,-1.000000,215.934123
1462374405.999973,42.359794,-71.092387,4.292355,200.000000,-1.000000,0.061292,215.934123
1462374406.999972,42.359804,-71.092383,4.284389,200.000000,-1.000000,0.140864,215.934123
1462374407.999972,42.359815,-71.092369,4.285673,200.000000,-1.000000,0.226559,215.934123
1462374408.999972,42.359823,-71.092338,4.287391,200.000000,-1.000000,0.341729,215.934123
1462374409.999971,42.359827,-71.092310,4.288292,200.000000,-1.000000,0.429161,215.934123
1462374410.999973,42.359830,-71.092271,4.272829,200.000000,-1.000000,0.539611,215.934123
1462374411.999973,42.359827,-71.092205,4.248370,200.000000,-1.000000,0.716422,215.934123
1462374412.999973,42.359534,-71.092002,4.305355,100.000000,-1.000000,-1.000000,215.934123
1462374413.999973,42.359487,-71.092023,4.319118,50.000000,-1.000000,-1.000000,215.934123
1462374414.999972,42.359470,-71.092010,4.344296,50.000000,-1.000000,-1.000000,215.934123
1462374415.999973,42.359452,-71.091998,4.368404,50.000000,-1.000000,-1.000000,215.934123
1462374416.999973,42.359428,-71.091989,4.359219,50.000000,-1.000000,-1.000000,215.934123
1462374417.999972,42.359405,-71.091983,4.366726,100.000000,-1.000000,-1.000000,215.934123
1462374418.999972,42.359374,-71.091969,4.419216,50.000000,-1.000000,-1.000000,215.934123
1462374419.999972,42.359362,-71.091952,4.447475,50.000000,-1.000000,-1.000000,215.934123
1462374420.999972,42.359358,-71.091943,4.396023,50.000000,-1.000000,-1.000000,215.934123
1462374421.999971,42.359343,-71.091930,4.320583,50.000000,-1.000000,-1.000000,215.934123
1462374422.999972,42.359340,-71.091926,4.315578,50.000000,-1.000000,-1.000000,215.934123
1462374423.999973,42.359335,-71.091926,4.310513,50.000000,-1.000000,-1.000000,215.934123
1462374424.999973,42.359315,-71.091920,4.263638,50.000000,-1.000000,-1.000000,215.934123
1462374425.999974,42.359298,-71.091913,4.293911,50.000000,-1.000000,-1.000000,215.934123
1462374426.999972,42.359277,-71.091892,4.334194,50.000000,-1.000000,-1.000000,215.934123
1462374427.999972,42.359256,-71.091868,4.329952,50.000000,-1.000000,-1.000000,215.934123
1462374428.999974,42.359235,-71.091839,4.296963,100.000000,-1.000000,-1.000000,215.934123
1462374429.999971,42.359214,-71.091815,4.269192,100.000000,-1.000000,-1.000000,215.934123
1462374430.999973,42.359197,-71.091794,4.274960,100.000000,-1.000000,-1.000000,215.934123
1462374431.999971,42.359182,-71.091778,4.275967,100.000000,-1.000000,-1.000000,215.934123
1462374432.999973,42.359180,-71.091758,4.287228,100.000000,-1.000000,-1.000000,215.934123
1462374433.999972,42.359179,-71.091746,4.315212,100.000000,-1.000000,-1.000000,215.934123
1462374434.999973,42.359185,-71.091750,4.335293,100.000000,-1.000000,-1.000000,215.934123
1462374435.999973,42.359171,-71.091756,4.345699,50.000000,86.835938,0.490000,507.054329
1462374436.999972,42.359190,-71.091779,4.293362,50.000000,86.835938,0.550000,648.025565
1462374437.999972,42.359208,-71.091801,4.270565,50.000000,86.835938,0.550000,700.962240
1462374438.999972,42.359224,-71.091823,4.273037,50.000000,86.835938,0.590000,683.609810
1462374439.999972,42.359246,-71.091845,4.211788,50.000000,86.835938,0.590000,681.620880
1462374440.999971,42.359264,-71.091861,4.222347,50.000000,86.835938,0.510000,760.549464
1462374441.999972,42.359277,-71.091872,4.247982,50.000000,86.835938,0.510000,783.861032
1462374442.999972,42.359296,-71.091879,4.299282,50.000000,86.835938,0.480000,820.556059
1462374443.999972,42.359313,-71.091886,4.308315,100.000000,86.835938,0.480000,825.724017
1462374444.999972,42.359333,-71.091890,4.265377,100.000000,86.835938,0.480000,818.167527
1462374445.999973,42.359350,-71.091892,4.241665,100.000000,86.835938,0.510000,771.755995
1462374446.999972,42.359359,-71.091884,4.217892,100.000000,86.835938,0.530000,730.074137
1462374447.999973,42.359638,-71.091511,4.225765,50.000000,51.328125,0.530000,706.798985
1462374448.999972,42.359658,-71.091478,4.224911,50.000000,51.328125,3.510000,147.767733
1462374457.001350,42.359803,-71.091227,4.224911,70.246444,-1.000000,-1.000000,147.767733
1462374460.244872,42.359737,-71.091375,4.786058,65.000000,-1.000000,-1.000000,147.767733
1462374469.246023,42.359844,-71.091195,4.786058,69.396030,-1.000000,-1.000000,147.767733
1462374479.737580,42.359941,-71.090923,5.343421,65.000000,-1.000000,-1.000000,147.767733
1462374480.547531,42.359938,-71.091024,7.266167,65.000000,-1.000000,-1.000000,147.767733
1462374486.288924,42.360001,-71.090936,8.036481,65.000000,-1.000000,-1.000000,147.767733
1462374495.294107,42.360076,-71.090800,8.036481,65.000000,-1.000000,-1.000000,147.767733
1462374512.248263,42.360185,-71.090565,8.036481,123.421596,-1.000000,-1.000000,147.767733
1462374512.259131,42.360177,-71.090538,8.036481,123.421621,-1.000000,-1.000000,147.767733
1462374514.809958,42.360183,-71.090480,8.036481,124.786855,-1.000000,-1.000000,147.767733
1462374514.821381,42.360175,-71.090452,8.036481,124.786883,-1.000000,-1.000000,147.767733
1462374517.368947,42.360180,-71.090394,8.036481,126.171426,-1.000000,-1.000000,147.767733
