Time,X,Y,Z
2016-05-11 00:35:03 +0000,-0.419673,0.263099,-0.011845
2016-05-11 00:35:04 +0000,-0.070710,-0.363019,-0.413057
2016-05-11 00:35:05 +0000,-0.042726,-0.028029,0.097342
2016-05-11 00:35:06 +0000,-0.098528,0.216841,-0.182211
2016-05-11 00:35:07 +0000,-0.057104,-0.002601,-0.111128
2016-05-11 00:35:08 +0000,-0.000090,0.288570,-0.223625
2016-05-11 00:35:09 +0000,0.246720,-0.217006,0.407967
2016-05-11 00:35:10 +0000,0.458978,0.014683,0.547726
2016-05-11 00:35:11 +0000,-0.082118,-0.546310,0.227514
2016-05-11 00:35:12 +0000,-0.076851,0.272841,0.553901
2016-05-11 00:35:13 +0000,0.127842,-0.004173,0.067128
2016-05-11 00:35:14 +0000,0.081934,0.199915,0.098035
2016-05-11 00:35:15 +0000,0.071976,0.045782,-0.138485
2016-05-11 00:35:16 +0000,0.035767,0.033143,-0.135672
2016-05-11 00:35:17 +0000,-0.163888,-0.017630,0.006901
2016-05-11 00:35:18 +0000,0.018771,0.172761,-0.040856
2016-05-11 00:35:19 +0000,-0.446372,-0.117454,-0.119375
2016-05-11 00:35:20 +0000,-0.010925,-0.133064,-0.072737
2016-05-11 00:35:21 +0000,0.342942,-0.168204,-0.137503
2016-05-11 00:35:22 +0000,-0.433717,0.156692,-0.257854
2016-05-11 00:35:23 +0000,-0.769230,-0.501819,-0.272264
2016-05-11 00:35:24 +0000,-0.141653,-0.330798,-0.180801
2016-05-11 00:35:25 +0000,-0.059851,0.134210,-0.135267
2016-05-11 00:35:26 +0000,-0.053180,-0.213208,-0.187107
2016-05-11 00:35:27 +0000,0.189626,-0.032437,-0.028046
2016-05-11 00:35:28 +0000,0.101726,-0.133884,0.018709
2016-05-11 00:35:29 +0000,0.131448,-0.122711,-0.060723
2016-05-11 00:35:30 +0000,0.150285,-0.011707,0.057754
2016-05-11 00:35:31 +0000,0.092690,0.000777,-0.012938
2016-05-11 00:35:32 +0000,-0.091545,0.158020,-0.065335
2016-05-11 00:35:33 +0000,-0.120341,0.045084,-0.153077
2016-05-11 00:35:34 +0000,0.013102,-0.071333,-0.033014
2016-05-11 00:35:35 +0000,-0.040604,-0.047614,0.011190
2016-05-11 00:35:36 +0000,0.104557,0.081257,0.150053
2016-05-11 00:35:37 +0000,0.014306,-0.051219,-0.042522
2016-05-11 00:35:38 +0000,-0.091027,-0.064298,0.044692
2016-05-11 00:35:39 +0000,0.071479,-0.046525,0.063296
2016-05-11 00:35:40 +0000,0.073529,-0.082604,0.066415
2016-05-11 00:35:41 +0000,0.004911,-0.006205,0.031929
2016-05-11 00:35:42 +0000,-0.049386,-0.040636,0.118512
2016-05-11 00:35:43 +0000,0.132939,-0.077366,0.078689
2016-05-11 00:35:44 +0000,-0.118870,0.033554,0.068063
2016-05-11 00:35:45 +0000,-0.107210,0.049475,0.072467
2016-05-11 00:35:46 +0000,0.099564,-0.020826,0.115727
2016-05-11 00:35:47 +0000,-0.299687,0.047785,0.070630
2016-05-11 00:35:48 +0000,-0.202144,-0.014966,0.089477
2016-05-11 00:35:49 +0000,-0.176641,0.050698,0.266383
2016-05-11 00:35:50 +0000,-0.273379,-0.051050,0.254575
2016-05-11 00:35:51 +0000,-0.256588,-0.051922,0.102688
2016-05-11 00:35:52 +0000,-0.223006,-0.138886,0.131498
2016-05-11 00:35:53 +0000,-0.084098,-0.112940,0.081850
2016-05-11 00:35:54 +0000,-0.231371,-0.234044,0.197102
2016-05-11 00:35:55 +0000,-0.300810,-0.104053,0.062797
2016-05-11 00:35:56 +0000,-0.313275,-0.295446,0.192979
2016-05-11 00:35:57 +0000,-0.241540,-0.341487,0.151017
2016-05-11 00:35:58 +0000,-0.378822,-0.300180,0.076449
2016-05-11 00:35:59 +0000,-0.362626,-0.279680,0.143639
2016-05-11 00:36:00 +0000,-0.297420,0.031192,0.142911
2016-05-11 00:36:01 +0000,-0.171536,-0.154522,0.011803
2016-05-11 00:36:02 +0000,-0.004034,-0.132503,0.226102
2016-05-11 00:36:03 +0000,0.163656,-0.156567,0.167033
2016-05-11 00:36:04 +0000,0.467436,-0.001580,0.295777
2016-05-11 00:36:05 +0000,0.596038,0.137414,0.144241
2016-05-11 00:36:06 +0000,0.099214,-0.099391,0.306911
2016-05-11 00:36:07 +0000,-0.675653,-0.510191,-0.017278
2016-05-11 00:36:08 +0000,-0.767332,-0.217834,0.024046
2016-05-11 00:36:09 +0000,-0.384170,-0.063924,0.183313
2016-05-11 00:36:10 +0000,-0.173982,0.129047,0.230453
2016-05-11 00:36:11 +0000,-0.417288,-0.122193,0.190295
2016-05-11 00:36:12 +0000,-0.464933,-0.327143,0.156369
2016-05-11 00:36:13 +0000,-0.700515,-0.379928,0.110400
2016-05-11 00:36:14 +0000,-0.531363,-0.335736,0.109995
2016-05-11 00:36:15 +0000,-0.486018,-0.356912,0.139081
2016-05-11 00:36:16 +0000,-0.899658,-0.558832,0.116563
2016-05-11 00:36:17 +0000,-0.718569,-0.475478,0.100420
2016-05-11 00:36:18 +0000,-0.429344,-0.267503,0.206829
