TimeStamp,Heading,Accuracy
2016-05-11 00:52:40 +0000,82.086197,25.000000
2016-05-11 00:52:40 +0000,76.755753,25.000000
2016-05-11 00:52:41 +0000,70.899841,25.000000
2016-05-11 00:52:42 +0000,75.915375,25.000000
2016-05-11 00:52:42 +0000,81.859390,25.000000
2016-05-11 00:52:42 +0000,76.153206,25.000000
2016-05-11 00:52:43 +0000,81.443672,25.000000
2016-05-11 00:52:43 +0000,76.147842,25.000000
2016-05-11 00:52:44 +0000,81.875168,25.000000
2016-05-11 00:52:44 +0000,87.437241,25.000000
2016-05-11 00:52:44 +0000,92.884903,25.000000
2016-05-11 00:52:44 +0000,97.991089,25.000000
2016-05-11 00:52:44 +0000,103.402603,25.000000
2016-05-11 00:52:44 +0000,110.006447,25.000000
2016-05-11 00:52:44 +0000,118.233963,25.000000
2016-05-11 00:52:45 +0000,123.702965,25.000000
2016-05-11 00:52:45 +0000,129.378387,25.000000
2016-05-11 00:52:45 +0000,134.665955,25.000000
2016-05-11 00:52:45 +0000,141.028397,25.000000
2016-05-11 00:52:45 +0000,146.267914,25.000000
2016-05-11 00:52:45 +0000,152.742432,25.000000
2016-05-11 00:52:45 +0000,159.157211,25.000000
2016-05-11 00:52:45 +0000,164.741425,25.000000
2016-05-11 00:52:45 +0000,170.035385,25.000000
2016-05-11 00:52:46 +0000,175.219345,25.000000
2016-05-11 00:52:46 +0000,169.899689,25.000000
2016-05-11 00:52:48 +0000,164.645554,25.000000
2016-05-11 00:52:49 +0000,170.164032,25.000000
2016-05-11 00:52:50 +0000,165.101074,25.000000
2016-05-11 00:52:50 +0000,159.644073,25.000000
2016-05-11 00:52:50 +0000,154.375275,25.000000
2016-05-11 00:52:51 +0000,148.745026,25.000000
2016-05-11 00:52:51 +0000,154.637695,25.000000
2016-05-11 00:52:51 +0000,159.692764,25.000000
2016-05-11 00:52:51 +0000,166.840973,25.000000
2016-05-11 00:52:52 +0000,172.080505,25.000000
2016-05-11 00:52:52 +0000,178.098419,25.000000
