Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA,Type,Outside
2016-05-10 22:40:36 +0000,42.359062,-71.093601,5.506100,5.000000,128.671875,0.000000,inf,GPS,1
2016-05-10 22:40:37 +0000,42.359062,-71.093601,5.538296,5.000000,128.671875,0.000000,inf,GPS,1
2016-05-10 22:40:38 +0000,42.359062,-71.093601,5.556881,5.000000,128.671875,0.000000,inf,GPS,1
2016-05-10 22:40:39 +0000,42.359062,-71.093601,5.555355,5.000000,128.671875,0.000000,inf,GPS,1
2016-05-10 22:40:40 +0000,42.359062,-71.093601,5.606136,5.000000,128.671875,0.000000,inf,GPS,1
2016-05-10 22:40:41 +0000,42.359062,-71.093601,5.666592,5.000000,133.593750,0.000000,inf,GPS,1
2016-05-10 22:40:42 +0000,42.359079,-71.093564,5.630154,5.000000,125.859375,0.290000,5874.456512,GPS,1
2016-05-10 22:40:43 +0000,42.359079,-71.093564,5.599789,5.000000,181.757812,0.460000,2428.949604,GPS,1
2016-05-10 22:40:44 +0000,42.359080,-71.093563,5.282375,5.000000,30.234375,0.460000,1031.447564,GPS,1
2016-05-10 22:40:45 +0000,42.359084,-71.093561,5.274227,5.000000,23.906250,0.260000,1200.977984,GPS,1
2016-05-10 22:40:46 +0000,42.359088,-71.093550,5.256161,5.000000,82.968750,0.260000,1135.086102,GPS,1
2016-05-10 22:40:47 +0000,42.359091,-71.093534,5.342098,5.000000,79.804688,1.030000,464.267105,GPS,1
2016-05-10 22:40:48 +0000,42.359092,-71.093527,5.462002,5.000000,92.460938,0.490000,545.030183,GPS,1
2016-05-10 22:40:49 +0000,42.359094,-71.093515,5.464626,10.000000,88.242188,1.430000,274.301835,GPS,1
2016-05-10 22:40:50 +0000,42.359101,-71.093496,5.436855,10.000000,74.179688,1.430000,394.698972,GPS,1
2016-05-10 22:40:51 +0000,42.359111,-71.093475,5.382900,10.000000,60.820312,1.620000,481.683444,GPS,1
2016-05-10 22:40:52 +0000,42.359117,-71.093462,5.484768,10.000000,55.546875,0.740000,392.636099,GPS,1
2016-05-10 22:40:53 +0000,42.359118,-71.093451,5.592159,10.000000,74.882812,1.000000,335.102018,GPS,1
2016-05-10 22:40:54 +0000,42.359115,-71.093438,5.587795,10.000000,103.359375,1.000000,296.925804,GPS,1
2016-05-10 22:40:55 +0000,42.359116,-71.093431,5.425961,10.000000,103.007812,1.000000,266.359674,GPS,1
2016-05-10 22:40:56 +0000,42.359116,-71.093431,5.324856,10.000000,102.656250,0.190000,442.526649,GPS,1
2016-05-10 22:40:57 +0000,42.359119,-71.093427,5.423977,10.000000,55.898438,0.470000,491.351965,GPS,1
2016-05-10 22:40:58 +0000,42.359121,-71.093426,5.382229,10.000000,70.664062,0.470000,522.545059,GPS,1
2016-05-10 22:40:59 +0000,42.359121,-71.093425,5.352200,10.000000,72.773438,0.330000,937.650580,GPS,1
